paper_id,title,abstract,authors,year,doi,link,database,llm_summary,i1_hint,i2_hint,i3_hint,model,reviewer,decision,notes,timestamp
7887726f5a97f696,A Bayesian approach to term structure modeling using heavy-tailed distributions,"In this paper, we introduce a robust extension of the three-factor model of Diebold and Li (J. Econometrics, 130: 337-364, 2006) using the class of symmetric scale mixtures of normal distributions. Specific distributions examined include the multivariate normal, Student-t, slash, and variance gamma distributions. In the presence of non-normality in the data, these distributions provide an appealing robust alternative to the routine use of the normal distribution. Using a Bayesian paradigm, we developed an efficient MCMC algorithm for parameter estimation. Moreover, the mixing parameters obtained as a by-product of the scale mixture representation can be used to identify outliers. Our results reveal that the Diebold-Li models based on the Student-t and slash distributions provide significant improvement in in-sample fit and out-of-sample forecast to the US yield data than the usual normal-based model. Copyright © 2011 John Wiley & Sons, Ltd. © 2012 Elsevier B.V., All rights reserved.","Abanto-Valle, C.A.; Lachos, V.H.; Ghosh, P.",2012,10.1002/asmb.920,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867581627&doi=10.1002%2Fasmb.920&partnerID=40&md5=d0718ed07907681fd60bc5e4fb51dca0,scopus,"This paper proposes a robust extension of the Diebold and Li three-factor model for term structure modeling by incorporating heavy-tailed distributions (multivariate normal, Student-t, slash, and variance gamma). A Bayesian approach with an MCMC algorithm is used for parameter estimation, and mixing parameters help identify outliers. The study demonstrates that models using Student-t and slash distributions offer improved in-sample fit and out-of-sample forecasts for US yield data compared to the standard normal-based model.",True,True,True,gemini-2.5-flash-lite,Olav,M,,2025-10-13T15:16:20.479045
22865f3093f9375d,"A Comparison of Neural Network, Statistical Methods, and Variable Choice for Life Insurers' Financial Distress Prediction","This study examines the effect of the statistical-mathematical model selected and the variable set considered on the ability to identify financially troubled life insurers. Models considered are two artificial neural network methods (back-propagation and learning vector quantization (LVQ)) and two more standard statistical methods (multiple discriminant analysis and logistic regression analysis). The variable sets considered are the insurance regulatory information system (IRIS) variables, the financial analysis solvency tracking (FAST) variables, and Texas early warning information system (EWIS) variables, and a data set consisting of twenty-two variables selected by us in conjunction with the research staff at TDI and a review of the insolvency prediction literature. The results show that the back-propagation (BP) and LVQ outperform the traditional statistical approaches for all four variable sets with a consistent superiority across the two different evaluation criteria (total misclassification cost and resubstitution risk criteria), and that the twenty-two variables and the Texas EWIS variable sets are more efficient than the IRIS and the FAST variable sets for identification of financially troubled life insurers in most comparisons.",,2006,10.1111/j.1539-6975.2006.00181.x,,proquest,"This study compares neural network methods (back-propagation and LVQ) with statistical methods (discriminant analysis and logistic regression) for predicting financial distress in life insurers. It evaluates the impact of different variable sets (IRIS, FAST, EWIS, and a custom set) on prediction accuracy. The findings indicate that neural networks, particularly back-propagation, generally outperform statistical methods, and a custom variable set of twenty-two variables along with the Texas EWIS variables are more effective for identifying distressed insurers.",True,False,True,gemini-2.5-flash-lite,Olav,N,,2025-10-13T15:16:38.007344
aaa155be6197dbf8,A Cox model for gradually disappearing events,"Innovations in medicine provide us longer and healthier life, leading lower mortality. Sooner rather than later, much greater longevity would be possible for us due to artificial intelligence advances in health care. Similarly, Advanced Driver Assistance Systems (ADAS) in highly automated vehicles may reduce or even eventually eliminate accidents by perceiving dangerous situations, which would minimize the number of accidents and lead to fewer loss claims for insurance companies. To model the survivor function capturing greater longevity as well as the number of claims reflecting less accidents in the long run, in this paper, we study a Cox process whose intensity process is piecewise-constant and decreasing. We derive its ultimate distributional properties, such as the Laplace transform of intensity integral process, the probability generating function of point process, their associated moments and cumulants, and the probability of no more claims for a given time point. In general, this simple model may be applicable in many other areas for modeling the evolution of gradually disappearing events, such as corporate defaults, dividend payments, trade arrivals, employment of a certain job type (e.g., typists) in the labor market, and release of particles. In particular, we discuss some potential applications to insurance.","Jang, Jiwook; Qu, Yan; Zhao, Hongbiao; Dassios, Angelos",2023,10.1017/s0269964821000553,,wos,"This paper proposes a Cox process model with a piecewise-constant and decreasing intensity process to capture gradually disappearing events, such as reduced accidents due to advanced driver assistance systems or increased longevity due to medical advances. The model's distributional properties, moments, and the probability of no further events are derived. Potential applications in insurance and other fields are discussed.",False,False,True,gemini-2.5-flash-lite,Olav,N,,2025-10-13T15:16:54.306889
3cf2316bbcf2ce76,A Hybrid Vector Autoregressive Model for Accurate Macroeconomic Forecasting: An Application to the U.S. Economy,"Forecasting macroeconomic variables is essential to macroeconomics, financial economics, and monetary policy analysis. Due to the high dimensionality of the macroeconomic dataset, it is challenging to forecast efficiently and accurately. Thus, this study provides a comprehensive analysis of predicting macroeconomic variables by comparing various vector autoregressive models followed by different estimation techniques. To address this, this paper proposes a novel hybrid model based on a smoothly clipped absolute deviation estimation method and a vector autoregression model that combats the curse of dimensionality and simultaneously produces reliable forecasts. The proposed hybrid model is applied to the U.S. quarterly macroeconomic data from the first quarter of 1959 to the fourth quarter of 2023, yielding multi-step-ahead forecasts (one-, three-, and six-step ahead). The multi-step-ahead out-of-sample forecast results (root mean square error and mean absolute error) for the considered data suggest that the proposed hybrid model yields a highly accurate and efficient gain. Additionally, it is demonstrated that the proposed models outperform the baseline models. Finally, the authors believe the proposed hybrid model may be expanded to other countries to assess its efficacy and accuracy.",,2025,10.3390/math13111706,,proquest,"This study proposes a novel hybrid vector autoregressive (VAR) model using a smoothly clipped absolute deviation estimation method for accurate macroeconomic forecasting. Applied to U.S. quarterly data, the model effectively addresses the curse of dimensionality and outperforms baseline models in multi-step-ahead out-of-sample forecasts.",True,False,True,gemini-2.5-flash-lite,Olav,M,,2025-10-13T15:17:29.812929
f1779cf7208a0e34,A MODEL-SELECTION APPROACH TO ASSESSING THE INFORMATION IN THE TERM STRUCTURE USING LINEAR-MODELS AND ARTIFICIAL NEURAL NETWORKS,"We take a model-selection approach to the question of whether forward-interest rates are useful in predicting future spot rates, using a variety of out-of-sample forecast-based model-selection criteria-forecast mean squared error, forecast direction accuracy, and forecast-based trading-system profitability. We also examine the usefulness of a class of novel prediction models called artificial neural networks and investigate the issue of appropriate window sizes for rolling-window-based prediction methods. Results indicate that the premium of the forward rate over the spot rate helps to predict the sign of future changes in the interest rate. Furthermore, model selection based on an in-sample Schwarz information criterion (SIC) does not appear to be a reliable guide to out-of-sample performance in the case of short-term interest rates. Thus, the in-sample SIC apparently fails to offer a convenient shortcut to true out-of-sample performance measures.","SWANSON, NR; WHITE, H",1995,10.2307/1392186,,wos,"This study uses a model-selection approach to evaluate the predictive power of forward interest rates for future spot rates, employing criteria such as forecast mean squared error, direction accuracy, and trading system profitability. It also explores the utility of artificial neural networks and optimal window sizes for prediction models. The findings suggest that the forward rate premium can predict the direction of future interest rate changes, but in-sample model selection criteria like the Schwarz Information Criterion (SIC) do not reliably predict out-of-sample performance for short-term rates.",True,True,True,gemini-2.5-flash-lite,Olav,Y,,2025-10-13T15:18:15.236661
5d4eeb7e05f11ede,A Nonlinear Factor Analysis of S&P 500 Index Option Returns,"Growing evidence suggests that extraordinary average returns may be obtained by trading equity index options, and that at least part of this abnormal performance is attributable to volatility and jump risk premia. This paper asks whether such priced risk factors are alone sufficient to explain these average returns. To provide an answer in as general as possible a setting, I estimate a flexible class of nonlinear models using all S&P 500 Index futures options traded between 1986 and 2000. The results show that priced factors contribute to these expected returns but are insufficient to explain their magnitudes, particularly for short-term out-of-the-money puts.",,2006,10.1111/j.1540-6261.2006.01059.x,,proquest,"This paper investigates whether priced risk factors are sufficient to explain the extraordinary average returns observed in S&P 500 Index options. Using a nonlinear factor analysis on options traded between 1986 and 2000, the study finds that while priced factors contribute to expected returns, they do not fully account for their magnitudes, especially for short-term out-of-the-money puts.",True,False,True,gemini-2.5-flash-lite,Olav,N,,2025-10-13T15:18:39.634312
77af4344c3d8f866,A Stock Market Decision-Making Framework Based on CMR-DQN,"In the dynamic and uncertain stock market, precise forecasting and decision-making are crucial for profitability. Traditional deep neural networks (DNN) often struggle with capturing long-term dependencies and multi-scale features in complex financial time series data. To address these challenges, we introduce CMR-DQN, an innovative framework that integrates discrete wavelet transform (DWT) for multi-scale data analysis, temporal convolutional network (TCN) for extracting deep temporal features, and a GRU–LSTM–Attention mechanism to enhance the model’s focus and memory. Additionally, CMR-DQN employs the Rainbow DQN reinforcement learning strategy to learn optimal trading strategies in a simulated environment. CMR-DQN significantly improved the total return rate on six selected stocks, with increases ranging from 20.37% to 55.32%. It also demonstrated substantial improvements over the baseline model in terms of Sharpe ratio and maximum drawdown, indicating increased excess returns per unit of total risk and reduced investment risk. These results underscore the efficiency and effectiveness of CMR-DQN in handling multi-scale time series data and optimizing stock market decisions.",,2024,10.3390/app14166881,,proquest,"This paper proposes CMR-DQN, a novel framework for stock market decision-making that combines discrete wavelet transform (DWT) for multi-scale analysis, temporal convolutional network (TCN) for feature extraction, and a GRU-LSTM-Attention mechanism for enhanced memory and focus. The framework uses Rainbow DQN for reinforcement learning to optimize trading strategies. Empirical results show significant improvements in total return rate, Sharpe ratio, and maximum drawdown compared to a baseline model on six selected stocks.",True,False,True,gemini-2.5-flash-lite,Olav,N,,2025-10-13T15:18:50.426219
2e9eec71c0351724,A Study on Project Portfolio Models with Skewness Risk and Staffing,"When it comes to business operation, the institutions have to choose some appropriate projects from numerous projects to invest. To this end, they should consider to establish a project portfolio to make decisions. When building such a portfolio, the project selection and the staff assignment are the most essential parts, which greatly affect the profit of project portfolios. As for the project selection, market returns tend to be asymmetric and investors are often concerned about the skewness risk which is ignored by the traditional project portfolio. Meanwhile, as for the staff assignment, the institutional investors aim at achieving the highest returns by adopting a proper assignment of project managers. In addition, since the exact possibility distributions of uncertain parameters in practical project portfolio problems are often unavailable, we adopt variable parametric credibility measure to characterize uncertain model parameters. In view of these problems, this article proposes a project portfolio model with skewness risk constraints and a project portfolio model with staffing based on credibility measure theory and fuzzy theory in uncertain circumstances. Our two models are associated with risk-free assets so that the remaining funds can be utilized effectively. Finally, we use genetic algorithms to solve our proposed models and present some numerical examples to demonstrate the effectiveness of the proposed models. © 2023 Elsevier B.V., All rights reserved.","Xu, W.; Liu, G.; Li, H.; Luo, W.",2017,10.1007/s40815-017-0295-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037379412&doi=10.1007%2Fs40815-017-0295-0&partnerID=40&md5=5d175108a94ab2d9fd4c70c6ba35eaf2,scopus,"This article proposes two project portfolio models addressing skewness risk and staffing issues under uncertainty, utilizing credibility measure and fuzzy theories. The models incorporate risk-free assets and are solved using genetic algorithms, with numerical examples demonstrating their effectiveness.",True,False,False,gemini-2.5-flash-lite,Olav,N,,2025-10-13T15:18:55.956249
644a6f98cf40c70c,A comparison of linear and nonlinear statistical techniques in performance attribution,"Performance attribution is usually conducted under the linear framework of multifactor models. Although commonly used by practitioners in finance, linear multifactor models are known to be less than satisfactory in many situations. After a brief survey of nonlinear methods, nonlinear statistical techniques are applied to performance attribution of a portfolio constructed from a fixed universe of stocks using factors derived from some commonly used cross sectional linear multifactor models. By rebalancing this portfolio monthly, the cumulative returns for procedures based on standard linear multifactor model and three nonlinear techniques-model selection, additive models, and neural networks-are calculated and compared. It is found that the first two nonlinear techniques, especially in combination, outperform the standard linear model. The results in the neural-network case are inconclusive because of the great variety of possible models. Although these methods are more complicated and may require some tuning, toolboxes are developed and suggestions on calibration are proposed. This paper demonstrates the usefulness of modern nonlinear statistical techniques in performance attribution.",Ngai Hang Chan; C. R. Genovese,2001,10.1109/72.935100,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=935100,ieeexplore,"This paper compares linear and nonlinear statistical techniques for portfolio performance attribution. It applies nonlinear methods like model selection, additive models, and neural networks to a stock portfolio and finds that nonlinear techniques, particularly model selection and additive models, outperform standard linear models. The study suggests that modern nonlinear techniques are useful for performance attribution, despite their complexity.",True,False,False,gemini-2.5-flash-lite,Olav,N,,2025-10-13T15:19:02.059418
a4cfbac9053df77e,A comparison of machine learning and econometric models for pricing perpetual Bitcoin futures and their application to algorithmic trading,"Bitcoin (BTC) perpetual futures contracts are highly leveraged speculative trading instruments with daily market trading of $45 Billion. BTC perpetual futures are derivative contracts, which depend upon the underlying BTC SPOT (current) price. Pricing perpetual futures fairly is hard, using traditional arbitrage arguments, because of the volatile nature of the so called funding rate, which is used as the replacement of risk free rate in the Cryptocurrency market. This work presents a novel technique for pricing BTC futures contracts using conditional volatility and mean models. Intra‐day high‐frequency futures' return volatility and mean are modelled using different ML and econometric techniques. A comparison is made using statistical measures to find the model that best captures the intra‐day conditional mean and volatility. Exponential generalized autoregressive conditional heteroskedasticity is shown to be an almost unbiased predictor of intra‐day volatility, while a constant autoregressive moving average (0, 0) model best captures the conditional mean of the returns. A market directional high frequency trading algorithm is developed using the volatility and mean models. The algorithm first prices the futures contract at some future point of time using the volatility and mean regression models. Next, the slope between the current futures price and the expected price are used to predict the market direction. A long or short position is taken depending upon the expected market direction movement. Extensive back‐testing results show absolute returns of 1500%–8000% depending upon the transaction fees and leverage used. On average, the market direction is predicted correctly 85% of the time by the best model. Finally, the trading technique is market neutral, in that it gives large positive returns, with low SD, in both bull and bear markets.",,2023,10.1111/exsy.13414,,proquest,"This study compares machine learning and econometric models for pricing Bitcoin perpetual futures, considering conditional volatility and mean. An Exponential Generalized Autoregressive Conditional Heteroskedasticity (EGARCH) model performed well for volatility, and a Constant Autoregressive Moving Average (0,0) model for mean. A trading algorithm based on these models achieved significant returns (1500%-8000%) by predicting market direction with 85% accuracy, demonstrating market neutrality.",True,False,True,gemini-2.5-flash-lite,Olav,N,,2025-10-13T15:19:08.469019
