paper_id,title,abstract,authors,year,doi,link,database,llm_summary,i1_hint,i2_hint,i3_hint,model,reviewer,decision,notes,timestamp
71de55dd11e1d89d,A Hybrid Methodology Using Machine Learning Techniques and Feature Engineering Applied to Time Series for Medium- and Long-Term Energy Market Price Forecasting,"In the electricity market, the issue of contract negotiation prices between generators/traders and buyers is of particular relevance, as an accurate contract modeling leads to increased financial returns and business sustainability for the various participating agents, encouraging investments in specialized sectors for price forecasting and risk analysis. This paper presents a methodology applied in experiments on energy forward curve scenarios using a set of techniques, including Long Short-Term Memory (LSTM), Extreme Gradient Boosting (XGBoost), Seasonal AutoRegressive Integrated Moving Average with eXogenous regressors (SARIMAX), and Feature Engineering to generate a 10-year projection of the Conventional Long-Term Price. The model validation proved to be effective, with errors of only 4.5% by Root Mean Square Error (RMSE) and slightly less than 2% by Mean Absolute Error (MAE), for a time series spanning from 7 January 2012 to 31 August 2024, in the Brazilian energy market.",,2025,10.3390/en18061387,,proquest,"This paper proposes a hybrid methodology combining Long Short-Term Memory (LSTM), Extreme Gradient Boosting (XGBoost), SARIMAX, and Feature Engineering for medium- and long-term energy market price forecasting. The model achieved low error rates (4.5% RMSE, <2% MAE) in predicting the Brazilian energy market's conventional long-term price over a 10-year projection.",True,False,True,gemini-2.5-flash-lite,Trine,N,,2025-10-13T15:27:27.201753
7af7d2c3acf27b2d,A Markov-modulated tree-based gradient boosting model for auto-insurance risk premium pricing,"In most sub Saharan African countries,the mechanism for pricing auto-insurance policies is tariff based. This means that the key factor that influences price changes is usually based on regulation and legislative dynamics. Additionally, where ratemaking is risk based, analysis has in most cases focused on internal historical data or claims history, particularly in the sub Saharran Africa. These policy regimes have led to unfair price distortions among policyholders and have increased risk of portfolios for most insurance companies. In this study we consider geographical location risk that influence auto-insurance claim process for an insurance company. The study develops a Markov-modulated tree-based gradient boosting (MMGB) model for pricing auto-insurance premiums. The Markov-modulated tree-based gradient boosting model is a Tweedie general linear model (GLM) based pricing algorithm with a compound Poisson-Gamma distribution whose rate varies according to accident risk in a Markovian process. Thus, the study extends the existing premium pricing framework by integrating a geographical location risk factor into the main pricing framework. The study applies the model to a motor insurance data set from Ghana. The results show that the proposed method is superior to other competing models because it generates relatively fair premium predictions for the non-life auto-insurance companies, helping to mitigate more the insured risk for the firm and the industry. © 2020 Elsevier B.V., All rights reserved.","Arku, D.; Doku-Amponsah, K.; Howard, N.K.",2020,10.3233/rda-180050,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085768703&doi=10.3233%2FRDA-180050&partnerID=40&md5=43274c399c2abe9303985a4ed9506140,scopus,"This study proposes a Markov-modulated tree-based gradient boosting (MMGB) model for auto-insurance premium pricing, incorporating geographical location risk. The model, a Tweedie GLM with a compound Poisson-Gamma distribution, uses a Markovian process for accident risk and is applied to motor insurance data from Ghana. Results indicate the MMGB model provides fairer premium predictions and better risk mitigation compared to other models.",True,False,True,gemini-2.5-flash-lite,Trine,N,,2025-10-13T15:27:37.268421
94f2194dac2bf593,A Multi-Objective Portfolio Selection Model With Fuzzy Value-at-Risk Ratio,"Considering nonstatistical uncertainties and/or insufficient historical data in security return forecasts, fuzzy set theory has been applied in the past decades to build portfolio selection models. Meanwhile, various risk measurements such as variance, entropy, and Value-at-Risk have been proposed in fuzzy environments to evaluate investment risks from different perspectives. Sharpe ratio, also known as the reward-to-variability ratio, which measures the risk premium per unit of the nonsystematic risk (asset deviation), has received great attention in modern portfolio theory. In this study, the Sharpe ratio in fuzzy environments is introduced, whereafter, a fuzzy Value-at-Risk ratio is proposed. Compared with Sharpe ratio, Value-at-Risk ratio is an index with dimensional knowledge that reflects the risk premium per unit of the systematic risk (the greatest loss under a given confidence level). On the basis of the two ratios, a multi-objective model is built to evaluate their joint impact on portfolio selection. Then, the proposed model is solved by a fuzzy simulation based multi-objective particle swarm optimization algorithm, where the global best of each iteration is determined by an improved dominance times based method. Finally, the algorithm superiority is justified via comparing with existing solvers on benchmark problems, and the model effectiveness is exemplified by using three case studies on portfolio selection.",B. Wang; Y. Li; S. Wang; J. Watada,2018,10.1109/tfuzz.2018.2842752,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8370687,ieeexplore,"This paper proposes a multi-objective portfolio selection model incorporating fuzzy Value-at-Risk ratio and Sharpe ratio. It addresses uncertainties in security return forecasts using fuzzy set theory and introduces a novel fuzzy Value-at-Risk ratio to measure systematic risk. The model is solved using a fuzzy simulation-based multi-objective particle swarm optimization algorithm, and its effectiveness is demonstrated through case studies.",True,False,False,gemini-2.5-flash-lite,Trine,N,,2025-10-13T15:27:43.707252
512099f188d82d66,"A Network and Machine Learning Approach to Factor, Asset, and Blended Allocation","The main idea of this article is to approach and compare factor and asset allocation portÂfolios using both traditional and alternative allocation techniques: Inverse variance optimization, minimum-variance optimization, and centrality-based techniques from network science. Analysis of the interconnectedÂness between assets and factors shows that their relaÂtionship is strong. The authors compare the allocation techniques, considering centrality and hierarchal-based networks. They demonstrate the advantages of graph theory to explain the advantages to portfolio manageÂment and the dynamic nature of assets and factors with their ""importance score."" They find that asset allocaÂtion can be efficiently derived using directed networks, dynamically driven by both US Treasuries and curÂrency returns with significant centrality scores. AlterÂnatively, the inverse variance weight estimation and correlation-based networks generate factor allocation with favorable risk-return parameters. Furthermore, factor allocation is driven mostly by the importance scores of the Fama-French-Carhart factors: SMB, HML, CMA, RMW, and MOM. The authors confirm previous results and argue that both factors and assets are interconnected with different value and momentum factors. Therefore, a blended strategy comprising factors and assets can be defensible for investors. As argued in previous research, factors are much more overcrowded than assets. Therefore, the centrality scores help to identify the crowded expoÂsure and build diversified allocation. The authors run LASSO regressions and show how the network-based allocation can be implemented using machine learning. © 2020 Elsevier B.V., All rights reserved.","Konstantinov, G.; Chorus, A.; Rebmann, J.",2020,10.3905/jpm.2020.1.147,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088367857&doi=10.3905%2Fjpm.2020.1.147&partnerID=40&md5=6e1dee8ae9c04309ccd1b8d63a1dbd71,scopus,"This article proposes a network and machine learning approach to compare factor and asset allocation portfolios using traditional and alternative techniques. It analyzes the interconnectedness between assets and factors, demonstrating the advantages of graph theory for portfolio management and identifying key drivers for asset and factor allocation. The study suggests a blended strategy of factors and assets can be beneficial, using machine learning (LASSO regressions) to implement network-based allocation.",True,False,False,gemini-2.5-flash-lite,Trine,N,,2025-10-13T15:27:57.422600
3c7ed3cc4ae5de19,A Neural Network Architecture for Maximizing Alpha in a Market Timing Investment Strategy,"In finance, assuming more risk often corresponds to the expectation of higher, compensating returns. In this setting, alpha stands out as one of the most prevalent and refined measures of risk-adjusted return ever postulated, allowing for the estimation of the excess return that cannot be explained by the risk factors impacting an asset. This article introduces a neural network architecture designed to formulate an investment strategy with the explicit goal of maximizing alpha. The strategy, centered around market timing, determines on a daily basis, based on past returns of the risky asset, whether to fully invest in the risky asset or opt for the risk-free alternative. The neural network architecture comprises two components: a policy network for strategy implementation and an evaluation network for long-term alpha computation during parameter optimization. Employing value-weighted US size decile portfolios as risky assets, the study achieves significant out-of-sample alphas ranging from 3.6% to 8.2% per year under the  $q^{5}$  asset pricing model (with a transaction cost assumption of one basis point). By construction, these alphas are not generated by risky asset growth. Robustness tests yield similar results with equal-weighted decile portfolios or under the Fama and French six-factor asset pricing model. Variations in transaction cost, number of past returns used as inputs, policy network design, or training sample size produce similar outcomes. This study underscores the effectiveness of reinforcement learning-inspired techniques in uncovering alpha in financial markets.",J. H. Ospina-Holguín; A. M. Padilla-Ospina,2024,10.1109/access.2024.3446708,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10640102,ieeexplore,"This article presents a neural network architecture for a market timing investment strategy aimed at maximizing alpha. The strategy uses a policy network and an evaluation network to decide daily between investing in a risky asset or a risk-free alternative, based on past returns. The study achieved significant out-of-sample alphas (3.6%-8.2% annually) using US size decile portfolios and the $q^{5}$ asset pricing model, with robustness checks confirming these results across different portfolio types, factor models, and parameter variations. The findings highlight the potential of reinforcement learning-inspired methods for alpha generation.",True,False,True,gemini-2.5-flash-lite,Trine,N,,2025-10-13T15:28:25.401538
88f2b0ee6b8ed45b,A New Credit Spread to Predict Economic Activities in China,"In recent years, the relationship between bond spreads and macro economy has been studied extensively by economists in western countries. However, few attentions were paid on this topic in China. This essay regards Chinese bond market as a complex system and constructs bond indices for China with the bottom-up approach. The authors use the data of 3,205 non-financial corporate bonds from February 2010 to October 2017 and construct a new spread noted as the PE_SOE spread. The authors find that the PE_SOE spread has a negative impact on economic activities and has the best predictive ability at short-run forecasting horizons, owing to the institutional superiority of the state-owned enterprises in China. The Treasury bond yields are found to have the best predictive ability at long-run horizons. Both spread shock and Treasury yield shock could lead to deflation and declines in economic activities, and the Treasury yield shock has a more severe and persistent impact on the economy due to the financial accelerator mechanism. PE_SOE spread is proved to be a better indicator for Chinese corporate bond market and can be widely used not only in future Chinese economic studies, but also for Chinese government’s macroeconomic monitoring and warning.",,2019,10.1007/s11424-019-8033-3,,proquest,"This study constructs a new credit spread, the PE_SOE spread, using data from 3,205 non-financial corporate bonds in China from February 2010 to October 2017. The PE_SOE spread negatively impacts economic activities and is a strong short-run predictor, while Treasury bond yields are better long-run predictors. Both spread and Treasury yield shocks can lead to deflation and economic decline, with Treasury yield shocks having a more severe and persistent impact. The PE_SOE spread is identified as a superior indicator for the Chinese corporate bond market and useful for macroeconomic monitoring.",False,False,True,gemini-2.5-flash-lite,Trine,N,,2025-10-13T15:28:53.853948
d4e4962a4745e30c,A Risk-Free Discount Rate Prediction Model for Mineral Project Evaluation Using a Hybrid Discrete Wavelet Transform and Artificial Neural Network,"The discount rate input parameter of Net Present Value (NPV) in mineral project evaluation is a function of a risk-free rate and risk premium component. To obtain a reliable NPV, it is important to estimate each of these components. This study employs a hybrid approach to predict risk-free rate using Discrete Wavelet Transform and Artificial Neural Network (DWT-ANN). The DWT-ANN model was tested using London Interbank Offered Rate (LIBOR) dataset from 1986 to 2020. The results showed that Discrete Wavelet Transform-Radial Basis Function Neural Network (DWT-RBFNN) of the three different hybrid algorithms developed and applied performed best in predicting the risk-free rate. This is because it achieved the lowest root mean square error of 0.0376 and the highest correlation coefficient of 0.9995. The DWT-RBFNN model can be a useful alternative tool for predicting risk-free rate, which is a key input parameter for the determination of discount rate. © 2022 Elsevier B.V., All rights reserved.","Gyebuni, R.; Ziggah, Y.Y.; Mireku-Gyimah, D.",2022,10.1155/2022/9984679,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139564882&doi=10.1155%2F2022%2F9984679&partnerID=40&md5=1dc2d0577c07a01ce69bdf0d8deb8b22,scopus,"This study proposes a hybrid Discrete Wavelet Transform and Artificial Neural Network (DWT-ANN) model to predict the risk-free rate, a crucial component for determining the discount rate in mineral project evaluation. The DWT-RBFNN model demonstrated superior performance in predicting the risk-free rate using LIBOR data from 1986-2020, achieving a low RMSE of 0.0376 and a high correlation coefficient of 0.9995.",True,False,True,gemini-2.5-flash-lite,Trine,M,,2025-10-13T15:31:00.866451
339df4defc6a0a72,A Semi-Static Replication Method for Bermudan Swaptions under an Affine Multi-Factor Model,"We present a semi-static replication algorithm for Bermudan swaptions under an affine, multi-factor term structure model. In contrast to dynamic replication, which needs to be continuously updated as the market moves, a semi-static replication needs to be rebalanced on just a finite number of instances. We show that the exotic derivative can be decomposed into a portfolio of vanilla discount bond options, which mirrors its value as the market moves and can be priced in closed form. This paves the way toward the efficient numerical simulation of xVA, market, and credit risk metrics for which forward valuation is the key ingredient. The static portfolio composition is obtained by regressing the target option’s value using an interpretable, artificial neural network. Leveraging the universal approximation power of neural networks, we prove that the replication error can be arbitrarily small for a sufficiently large portfolio. A direct, a lower bound, and an upper bound estimator for the Bermudan swaption price are inferred from the replication algorithm. Additionally, closed-form error margins to the price statistics are determined. We practically study the accuracy and convergence of the method through several numerical experiments. The results indicate that the semi-static replication approaches the LSM benchmark with basis point accuracy and provides tight, efficient error bounds. For in-model simulations, the semi-static replication outperforms a traditional dynamic hedge. © 2023 Elsevier B.V., All rights reserved.","Hoencamp, J.H.; Jain, S.; Kandhai, D.",2023,10.3390/risks11100168,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175481739&doi=10.3390%2Frisks11100168&partnerID=40&md5=8b7a20248b55d866fc0a12d7eb46c0ab,scopus,"This paper introduces a semi-static replication method for Bermudan swaptions using an affine, multi-factor term structure model. Unlike dynamic replication, this method requires rebalancing only at discrete intervals. The approach decomposes the swaption into a portfolio of vanilla discount bond options, allowing for closed-form pricing. It utilizes an artificial neural network for static portfolio composition and demonstrates that replication error can be minimized with a sufficiently large portfolio. The method provides estimators for swaption prices and error margins, showing accuracy comparable to the LSM benchmark and outperforming traditional dynamic hedging in simulations.",True,True,False,gemini-2.5-flash-lite,Trine,N,,2025-10-13T15:31:54.606328
d67f32ecdbb90051,A Structural Credit Risk Model with Jumps Based on Uncertainty Theory,"This study, within the framework of uncertainty theory, employs an uncertain differential equation with jumps to model the asset value process of a company, establishing a structured model of uncertain credit risk that incorporates jumps. This model is applied to the pricing of two types of credit derivatives, yielding pricing formulas for corporate zero-coupon bonds and Credit Default Swap (CDS). Through numerical analysis, we examine the impact of asset value volatility and jump magnitude on corporate default uncertainty, as well as the influence of jump magnitude on the pricing of zero-coupon bonds and CDS. The results indicate that an increase in volatility levels significantly enhances default uncertainty, and an expansion in the magnitude of negative jumps not only directly elevates default risk but also leads to a significant increase in the value of zero-coupon bonds and the price of CDS through a risk premium adjustment mechanism. Therefore, when assessing corporate default risk and pricing credit derivatives, the disturbance of asset value jumps must be considered a crucial factor.",,2025,10.3390/math13060897,,proquest,This study develops a structural credit risk model using uncertainty theory and uncertain differential equations with jumps to price corporate zero-coupon bonds and Credit Default Swaps (CDS). Numerical analysis shows that asset value volatility and negative jumps increase default uncertainty and impact derivative pricing. The study emphasizes considering asset value jumps in default risk assessment and derivative pricing.,False,False,False,gemini-2.5-flash-lite,Trine,N,,2025-10-13T15:32:46.608576
84a48054af586950,A Study of Stock Market Predictability Based on Financial Time Series Models,"In today’s era of economic globalization and financial integration, the stock market is constantly complex, showing many deviations that cannot be explained by classical financial analysis, but at the same time, some classic financial statistical features have striking similarities. This suggests that although the stock market is intricate, there are universal laws that can be found through data mining to find its underlying operating rules. In this paper, we construct financial time series models such as ARIMA, ARCH, and GARCH to predict the stock market price fluctuations and trends. The ARIMA model is used to fit the linear financial time series, and the GARCH model is used to fit the nonlinear time series residuals. The results show that the integrated tree model based on the idea of weight voting has high accuracy in predicting stock market bulls and bears, with XGBoost prediction accuracy up to 96%, and the neural network model is also very effective, with an accuracy rate of over 90%.",,2022,10.1155/2022/8077277,,proquest,"This paper explores stock market predictability using financial time series models like ARIMA, ARCH, and GARCH. It applies these models, including XGBoost and neural networks, to predict price fluctuations and trends, achieving high accuracy rates.",True,False,True,gemini-2.5-flash-lite,Trine,N,,2025-10-13T15:33:04.982714
