paper_id,title,abstract,authors,year,doi,link,database,llm_summary,i1_hint,i2_hint,i3_hint,model,reviewer,decision,notes,timestamp
16b768df753f1bf5,A Chaos Analysis of the Dry Bulk Shipping Market,"Finding low-dimensional chaos is a relevant issue as it could allow short-term reliable forecasting. However, the existence of chaos in shipping freight rates remains an open and outstanding matter as previous research used methodology that can produce misleading results. Using daily data, this paper aims to unveil the nonlinear dynamics of the Baltic Dry Index that has been proposed as a measure of the shipping rates for certain raw materials. We tested for the existence of nonlinearity and low-dimensional chaos. We have also examined the chaotic dynamics throughout three sub-sampling periods, which have been determined by the volatility pattern of the series. For this purpose, from a comprehensive view we apply several metric and topological techniques, including the most suitable methods for noisy time series analysis. The proposed methodology considers the characteristics of chaotic time series, such as nonlinearity, determinism, sensitivity to initial conditions, fractal dimension and recurrence. Although there is strong evidence of a nonlinear structure, a chaotic and, therefore, deterministic behavior cannot be assumed during the whole or the three periods considered. Our findings indicate that the generalized autoregressive conditional heteroscedastic (GARCH) model and exponential GARCH (EGARCH) model explain a significant part of the nonlinear structure that is found in the dry bulk shipping freight market.","Inglada-Perez, Lucia; Coto-Millan, Pablo",2021,10.3390/math9172065,,wos,"This paper investigates the presence of low-dimensional chaos in the dry bulk shipping market using the Baltic Dry Index. While evidence suggests a nonlinear structure, chaotic and deterministic behavior could not be confirmed. The study found that GARCH and EGARCH models explain a significant portion of the nonlinearity.",True,False,True,gemini-2.5-flash-lite,Olav,N,,2025-10-28T09:41:45.144590
32873e86106b0a11,A Class of Non-Gaussian State Space Models With Exact Likelihood Inference,"The likelihood function of a general nonlinear, non-Gaussian state space model is a high-dimensional integral with no closed-form solution. In this article, I show how to calculate the likelihood function exactly for a large class of non-Gaussian state space models that include stochastic intensity, stochastic volatility, and stochastic duration models among others. The state variables in this class follow a nonnegative stochastic process that is popular in econometrics for modeling volatility and intensities. In addition to calculating the likelihood, I also show how to perform filtering and smoothing to estimate the latent variables in the model. The procedures in this article can be used for either Bayesian or frequentist estimation of the model's unknown parameters as well as the latent state variables. Supplementary materials for this article are available online.","Creal, Drew D.",2017,10.1080/07350015.2015.1092977,,wos,"This article presents a method for exact likelihood inference in a class of non-Gaussian state space models, applicable to models with stochastic intensity, volatility, or duration. It also details procedures for filtering and smoothing to estimate latent variables, suitable for both Bayesian and frequentist estimation.",False,False,False,gemini-2.5-flash-lite,Olav,N,,2025-10-28T09:41:50.968156
0df5735bfdc43af0,A Comparative Analysis of the Choice of Mother Wavelet Functions Affecting the Accuracy of Forecasts of Daily Balances in the Treasury Single Account,"Improving the accuracy of cash flow forecasting in the TSA is key to fulfilling government payment obligations, minimizing the cost of maintaining the cash reserve, providing the absence of outstanding debt accumulation and ensuring investment in financial instruments to obtain additional income. This study aims to improve the accuracy of traditional methods of forecasting the time series compiled from the daily remaining balances in the TSAbased on prior decomposition using a discrete wavelet transform. The paper compares the influence of selecting a mother wavelet out of 570 mother wavelet functions belonging to 10 wavelet families (Haar;Dabeshies; Symlet; Coiflet; Biorthogonal Spline; Reverse Biorthogonal Spline; Meyer; Shannon; Battle-Lemarie; and Cohen–Daubechies–Feauveau) and the decomposition level (from 1 to 8) on the forecast accuracy of time series compiled from the daily remaining balances in the TSA in comparison with the traditional forecasting method without prior timeseries decomposition. The model with prior time series decomposition based on the Reverse Biorthogonal Spline Wavelet [5.5] mother wavelet function, upon the eighth iteration, features the highest accuracy, significantly higher than that of the traditional forecasting models. The choice of the mother wavelet and the decomposition level play an important role in increasing the accuracy of forecasting the daily remaining balances in the TSA.",,2022,10.3390/economies10090213,,proquest,"This study investigates the impact of different mother wavelet functions and decomposition levels on the accuracy of forecasting daily Treasury Single Account (TSA) balances. By comparing wavelet transform-based decomposition with traditional forecasting methods, the research identifies the Reverse Biorthogonal Spline Wavelet [5.5] as yielding the highest accuracy after eight iterations, significantly outperforming traditional models. The findings highlight the importance of wavelet selection and decomposition level for improving TSA balance forecast accuracy.",True,False,True,gemini-2.5-flash-lite,Olav,N,,2025-10-28T09:42:02.071653
ff08816516693672,"A Comparison of LSTM, GRU, and XGBoost for forecasting Morocco’s yield curve","The field of time series forecasting has grown significantly over the past several years and is now highly active. In numerous application domains, deep neural networks are exact and powerful. They are among the most popular machine learning techniques for resolving big data issues because of these factors. Historically, there have been numerous methods for accurately predicting the subsequent change in time series data. The time series forecasting problem and its mathematical underpinnings are first articulated in this study. Following that, a description of the most popular deep learning architectures used to date with success in time series forecasting is provided, emphasizing both their benefits and drawbacks. Feedforward networks, recurrent neural networks (such as Elman networks), long-and short-term memory (LSTM), and gated recurrent units (GRU) are given special consideration. Furthermore, the advantages of the XGBoost boosting tree method have shown its superiority in numerous data mining competitions in recent years. The high coefficients of the metric measures indicate that the proposed XGBoost model provides good predictive performance, according to the results. © 2024 Elsevier B.V., All rights reserved.","Jeaab, K.; Saoudi, Y.; Falloul, M.E.M.",2024,10.23939/mmc2024.03.674,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205025967&doi=10.23939%2Fmmc2024.03.674&partnerID=40&md5=a547ef809381a9bbc475c0545010746d,scopus,"This study compares LSTM, GRU, and XGBoost for forecasting Morocco's yield curve. It reviews deep learning architectures for time series forecasting and highlights XGBoost's strong predictive performance.",True,True,True,gemini-2.5-flash-lite,Olav,Y,,2025-10-28T09:42:51.143875
a2291dc0a2cab336,A Comprehensive Approach to Residual Value Analysis in the Luxury Automotive Market,"Global automotive markets have introduced new complexities, from the surge in powertrain diversity to evolving consumer purchasing habits. In the luxury car segment, residual value (RV), the car’s actual value at the end of ownership, is particularly significant. A high RV translates into lower overall ownership costs, as the car retains more of its value over time, which can boost demand as well as leasing margin. For this reason, the analysis of RV offers key insights for strategic decision-making. The present study leverages a large-scale global dataset spanning a 10-year period, capturing both internal vehicle features and three available external market conditions (CPI, unemployment rate, and 10-year bond yield). Our approach employs machine learning techniques, particularly CatBoost, achieving a mean absolute percentage error of around 5%, deemed highly acceptable within the industry. Moreover, a novel method to enhance the reliability and interpretability of RV estimations is proposed by quantifying depreciation thresholds and mitigating distortions related to sample composition via a “Standard Vehicle” concept. The approach has been validated by Ferrari S.p.A., the provider of the data, serving as a robust tool for automotive industry stakeholders.",A. Ghibellini; A. Scioletti; M. Coletto; L. Bononi; M. Gabbrielli,2025,10.1109/access.2025.3591765,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11091377,ieeexplore,"This study analyzes residual values in the luxury automotive market using a large global dataset and machine learning (CatBoost). It incorporates vehicle features and market conditions (CPI, unemployment, bond yield) to predict residual values with high accuracy (MAPE ~5%). A novel method using depreciation thresholds and a ""Standard Vehicle"" concept enhances reliability and interpretability. The approach was validated by Ferrari S.p.A.",True,False,True,gemini-2.5-flash-lite,Olav,N,,2025-10-28T09:42:56.343773
71de55dd11e1d89d,A Hybrid Methodology Using Machine Learning Techniques and Feature Engineering Applied to Time Series for Medium- and Long-Term Energy Market Price Forecasting,"In the electricity market, the issue of contract negotiation prices between generators/traders and buyers is of particular relevance, as an accurate contract modeling leads to increased financial returns and business sustainability for the various participating agents, encouraging investments in specialized sectors for price forecasting and risk analysis. This paper presents a methodology applied in experiments on energy forward curve scenarios using a set of techniques, including Long Short-Term Memory (LSTM), Extreme Gradient Boosting (XGBoost), Seasonal AutoRegressive Integrated Moving Average with eXogenous regressors (SARIMAX), and Feature Engineering to generate a 10-year projection of the Conventional Long-Term Price. The model validation proved to be effective, with errors of only 4.5% by Root Mean Square Error (RMSE) and slightly less than 2% by Mean Absolute Error (MAE), for a time series spanning from 7 January 2012 to 31 August 2024, in the Brazilian energy market.",,2025,10.3390/en18061387,,proquest,"This paper proposes a hybrid methodology combining Long Short-Term Memory (LSTM), Extreme Gradient Boosting (XGBoost), SARIMAX, and Feature Engineering for medium- and long-term energy market price forecasting. The model achieved low error rates (4.5% RMSE, <2% MAE) in predicting the Brazilian energy market's conventional long-term price over a 10-year projection.",True,False,True,gemini-2.5-flash-lite,Olav,N,,2025-10-28T09:43:04.687895
7af7d2c3acf27b2d,A Markov-modulated tree-based gradient boosting model for auto-insurance risk premium pricing,"In most sub Saharan African countries,the mechanism for pricing auto-insurance policies is tariff based. This means that the key factor that influences price changes is usually based on regulation and legislative dynamics. Additionally, where ratemaking is risk based, analysis has in most cases focused on internal historical data or claims history, particularly in the sub Saharran Africa. These policy regimes have led to unfair price distortions among policyholders and have increased risk of portfolios for most insurance companies. In this study we consider geographical location risk that influence auto-insurance claim process for an insurance company. The study develops a Markov-modulated tree-based gradient boosting (MMGB) model for pricing auto-insurance premiums. The Markov-modulated tree-based gradient boosting model is a Tweedie general linear model (GLM) based pricing algorithm with a compound Poisson-Gamma distribution whose rate varies according to accident risk in a Markovian process. Thus, the study extends the existing premium pricing framework by integrating a geographical location risk factor into the main pricing framework. The study applies the model to a motor insurance data set from Ghana. The results show that the proposed method is superior to other competing models because it generates relatively fair premium predictions for the non-life auto-insurance companies, helping to mitigate more the insured risk for the firm and the industry. © 2020 Elsevier B.V., All rights reserved.","Arku, D.; Doku-Amponsah, K.; Howard, N.K.",2020,10.3233/rda-180050,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085768703&doi=10.3233%2FRDA-180050&partnerID=40&md5=43274c399c2abe9303985a4ed9506140,scopus,"This study proposes a Markov-modulated tree-based gradient boosting (MMGB) model for auto-insurance premium pricing, incorporating geographical location risk. The model, a Tweedie GLM with a compound Poisson-Gamma distribution, uses a Markovian process for accident risk and is applied to motor insurance data from Ghana. Results indicate the MMGB model provides fairer premium predictions and better risk mitigation compared to other models.",True,False,True,gemini-2.5-flash-lite,Olav,N,,2025-10-28T09:43:11.143751
94f2194dac2bf593,A Multi-Objective Portfolio Selection Model With Fuzzy Value-at-Risk Ratio,"Considering nonstatistical uncertainties and/or insufficient historical data in security return forecasts, fuzzy set theory has been applied in the past decades to build portfolio selection models. Meanwhile, various risk measurements such as variance, entropy, and Value-at-Risk have been proposed in fuzzy environments to evaluate investment risks from different perspectives. Sharpe ratio, also known as the reward-to-variability ratio, which measures the risk premium per unit of the nonsystematic risk (asset deviation), has received great attention in modern portfolio theory. In this study, the Sharpe ratio in fuzzy environments is introduced, whereafter, a fuzzy Value-at-Risk ratio is proposed. Compared with Sharpe ratio, Value-at-Risk ratio is an index with dimensional knowledge that reflects the risk premium per unit of the systematic risk (the greatest loss under a given confidence level). On the basis of the two ratios, a multi-objective model is built to evaluate their joint impact on portfolio selection. Then, the proposed model is solved by a fuzzy simulation based multi-objective particle swarm optimization algorithm, where the global best of each iteration is determined by an improved dominance times based method. Finally, the algorithm superiority is justified via comparing with existing solvers on benchmark problems, and the model effectiveness is exemplified by using three case studies on portfolio selection.",B. Wang; Y. Li; S. Wang; J. Watada,2018,10.1109/tfuzz.2018.2842752,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8370687,ieeexplore,"This paper proposes a multi-objective portfolio selection model incorporating fuzzy Value-at-Risk ratio and Sharpe ratio. It addresses uncertainties in security return forecasts using fuzzy set theory and introduces a novel fuzzy Value-at-Risk ratio to measure systematic risk. The model is solved using a fuzzy simulation-based multi-objective particle swarm optimization algorithm, and its effectiveness is demonstrated through case studies.",True,False,False,gemini-2.5-flash-lite,Olav,N,,2025-10-28T09:44:07.255925
d4e4962a4745e30c,A Risk-Free Discount Rate Prediction Model for Mineral Project Evaluation Using a Hybrid Discrete Wavelet Transform and Artificial Neural Network,"The discount rate input parameter of Net Present Value (NPV) in mineral project evaluation is a function of a risk-free rate and risk premium component. To obtain a reliable NPV, it is important to estimate each of these components. This study employs a hybrid approach to predict risk-free rate using Discrete Wavelet Transform and Artificial Neural Network (DWT-ANN). The DWT-ANN model was tested using London Interbank Offered Rate (LIBOR) dataset from 1986 to 2020. The results showed that Discrete Wavelet Transform-Radial Basis Function Neural Network (DWT-RBFNN) of the three different hybrid algorithms developed and applied performed best in predicting the risk-free rate. This is because it achieved the lowest root mean square error of 0.0376 and the highest correlation coefficient of 0.9995. The DWT-RBFNN model can be a useful alternative tool for predicting risk-free rate, which is a key input parameter for the determination of discount rate. © 2022 Elsevier B.V., All rights reserved.","Gyebuni, R.; Ziggah, Y.Y.; Mireku-Gyimah, D.",2022,10.1155/2022/9984679,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139564882&doi=10.1155%2F2022%2F9984679&partnerID=40&md5=1dc2d0577c07a01ce69bdf0d8deb8b22,scopus,"This study proposes a hybrid Discrete Wavelet Transform and Artificial Neural Network (DWT-ANN) model to predict the risk-free rate, a crucial component for determining the discount rate in mineral project evaluation. The DWT-RBFNN model demonstrated superior performance in predicting the risk-free rate using LIBOR data from 1986-2020, achieving a low RMSE of 0.0376 and a high correlation coefficient of 0.9995.",True,False,True,gemini-2.5-flash-lite,Olav,Y,,2025-10-28T09:44:27.391714
339df4defc6a0a72,A Semi-Static Replication Method for Bermudan Swaptions under an Affine Multi-Factor Model,"We present a semi-static replication algorithm for Bermudan swaptions under an affine, multi-factor term structure model. In contrast to dynamic replication, which needs to be continuously updated as the market moves, a semi-static replication needs to be rebalanced on just a finite number of instances. We show that the exotic derivative can be decomposed into a portfolio of vanilla discount bond options, which mirrors its value as the market moves and can be priced in closed form. This paves the way toward the efficient numerical simulation of xVA, market, and credit risk metrics for which forward valuation is the key ingredient. The static portfolio composition is obtained by regressing the target option’s value using an interpretable, artificial neural network. Leveraging the universal approximation power of neural networks, we prove that the replication error can be arbitrarily small for a sufficiently large portfolio. A direct, a lower bound, and an upper bound estimator for the Bermudan swaption price are inferred from the replication algorithm. Additionally, closed-form error margins to the price statistics are determined. We practically study the accuracy and convergence of the method through several numerical experiments. The results indicate that the semi-static replication approaches the LSM benchmark with basis point accuracy and provides tight, efficient error bounds. For in-model simulations, the semi-static replication outperforms a traditional dynamic hedge. © 2023 Elsevier B.V., All rights reserved.","Hoencamp, J.H.; Jain, S.; Kandhai, D.",2023,10.3390/risks11100168,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175481739&doi=10.3390%2Frisks11100168&partnerID=40&md5=8b7a20248b55d866fc0a12d7eb46c0ab,scopus,"This paper introduces a semi-static replication method for Bermudan swaptions using an affine, multi-factor term structure model. Unlike dynamic replication, this method requires rebalancing only at discrete intervals. The approach decomposes the swaption into a portfolio of vanilla discount bond options, allowing for closed-form pricing. It utilizes an artificial neural network for static portfolio composition and demonstrates that replication error can be minimized with a sufficiently large portfolio. The method provides estimators for swaption prices and error margins, showing accuracy comparable to the LSM benchmark and outperforming traditional dynamic hedging in simulations.",True,True,False,gemini-2.5-flash-lite,Olav,N,,2025-10-28T09:44:33.447696
