paper_id,title,abstract,authors,year,doi,link,database,llm_summary,i1_hint,i2_hint,i3_hint,model,reviewer,decision,notes,timestamp
22865f3093f9375d,"A Comparison of Neural Network, Statistical Methods, and Variable Choice for Life Insurers' Financial Distress Prediction","This study examines the effect of the statistical-mathematical model selected and the variable set considered on the ability to identify financially troubled life insurers. Models considered are two artificial neural network methods (back-propagation and learning vector quantization (LVQ)) and two more standard statistical methods (multiple discriminant analysis and logistic regression analysis). The variable sets considered are the insurance regulatory information system (IRIS) variables, the financial analysis solvency tracking (FAST) variables, and Texas early warning information system (EWIS) variables, and a data set consisting of twenty-two variables selected by us in conjunction with the research staff at TDI and a review of the insolvency prediction literature. The results show that the back-propagation (BP) and LVQ outperform the traditional statistical approaches for all four variable sets with a consistent superiority across the two different evaluation criteria (total misclassification cost and resubstitution risk criteria), and that the twenty-two variables and the Texas EWIS variable sets are more efficient than the IRIS and the FAST variable sets for identification of financially troubled life insurers in most comparisons.",,2006,10.1111/j.1539-6975.2006.00181.x,,proquest,"This study compares neural network methods (back-propagation and LVQ) with statistical methods (discriminant analysis and logistic regression) for predicting financial distress in life insurers. It evaluates the impact of different variable sets (IRIS, FAST, EWIS, and a custom set) on prediction accuracy. The findings indicate that neural networks, particularly back-propagation, generally outperform statistical methods, and a custom variable set of twenty-two variables along with the Texas EWIS variables are more effective for identifying distressed insurers.",True,False,True,gemini-2.5-flash-lite,Trine,N,,2025-10-24T09:37:53.802300
aaa155be6197dbf8,A Cox model for gradually disappearing events,"Innovations in medicine provide us longer and healthier life, leading lower mortality. Sooner rather than later, much greater longevity would be possible for us due to artificial intelligence advances in health care. Similarly, Advanced Driver Assistance Systems (ADAS) in highly automated vehicles may reduce or even eventually eliminate accidents by perceiving dangerous situations, which would minimize the number of accidents and lead to fewer loss claims for insurance companies. To model the survivor function capturing greater longevity as well as the number of claims reflecting less accidents in the long run, in this paper, we study a Cox process whose intensity process is piecewise-constant and decreasing. We derive its ultimate distributional properties, such as the Laplace transform of intensity integral process, the probability generating function of point process, their associated moments and cumulants, and the probability of no more claims for a given time point. In general, this simple model may be applicable in many other areas for modeling the evolution of gradually disappearing events, such as corporate defaults, dividend payments, trade arrivals, employment of a certain job type (e.g., typists) in the labor market, and release of particles. In particular, we discuss some potential applications to insurance.","Jang, Jiwook; Qu, Yan; Zhao, Hongbiao; Dassios, Angelos",2023,10.1017/s0269964821000553,,wos,"This paper proposes a Cox process model with a piecewise-constant and decreasing intensity process to capture gradually disappearing events, such as reduced accidents due to advanced driver assistance systems or increased longevity due to medical advances. The model's distributional properties, moments, and the probability of no further events are derived. Potential applications in insurance and other fields are discussed.",False,False,True,gemini-2.5-flash-lite,Trine,N,,2025-10-24T09:38:01.131742
b5415c8117608d9f,A Discussion of Non-Gaussian Price Processes for Energy and Commodity Operations,"Energy sources and commodities exhibit high price risk. This risk is thus an important feature of operational models of the value chains for these goods. These models typically employ Gaussian-based representations of the evolution of this uncertainty. This approach facilitates the optimization of operational policies but is at odds with empirical facts about energy and commodity prices, which are better captured by non-Gaussian processes. We discuss this alternative modeling strategy, focusing on Lévy processes. As an illustration, we show that it substantially increases the optimal policy value in a simplified merchant natural gas storage setting. Further, we highlight potential implications of using this approach to formulate realistic energy and commodity operations models. Our work has broader relevance for modeling the dynamics of both other market variables and operational quantities, such as exchange rates and demand forecasts. The study of how the adoption of non-Gaussian processes may impact energy and commodity operations is an appealing area for future research. © 2021 Elsevier B.V., All rights reserved.","Gambaro, A.M.; Secomandi, N.",2021,10.1111/poms.13250,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096644292&doi=10.1111%2Fpoms.13250&partnerID=40&md5=5666d8014dd126fe7d35d4bc4040ac34,scopus,"This paper discusses the use of non-Gaussian processes, specifically Lévy processes, to model the price dynamics of energy and commodities, arguing that these are more empirically accurate than traditional Gaussian models. It illustrates the benefits with a natural gas storage example and suggests broader implications for operational models and forecasting.",False,False,True,gemini-2.5-flash-lite,Trine,N,,2025-10-24T09:38:18.340722
f9836cc4dd014711,A Gaussian Process of Yield Rates Calibrated with Strips,"This paper presents a Gaussian multivariate factor model of the term structure of interest rates. It shows that there exists a martingale valuation law of the factors so that the price function of a zero-coupon bond is an exponential spline. The model’s linear and Gaussian structure yields a simple model where estimation and calibration are relatively easy to do. Using yield data on stripped bonds, the spline model gives a very good approximation of the yield curve at all times. Moreover, the crucial Gaussian assumption is reasonable when modeling the dynamics for short periods like one year. © 2001 Taylor & Francis Group, LLC. © 2017 Elsevier B.V., All rights reserved.","Carrière, J.F.",2001,10.1080/10920277.2001.10595995,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011238970&doi=10.1080%2F10920277.2001.10595995&partnerID=40&md5=b9fd767ad96ca600385575d9c079e5fb,scopus,"This paper introduces a Gaussian multivariate factor model for interest rate term structures, where bond prices are represented by exponential splines. The model's linear and Gaussian properties facilitate straightforward estimation and calibration. Empirical results using stripped bond yield data demonstrate the spline model's effectiveness in approximating yield curves, with the Gaussian assumption being valid for short-term dynamics.",True,True,False,gemini-2.5-flash-lite,Trine,N,,2025-10-24T09:38:58.204318
3cf2316bbcf2ce76,A Hybrid Vector Autoregressive Model for Accurate Macroeconomic Forecasting: An Application to the U.S. Economy,"Forecasting macroeconomic variables is essential to macroeconomics, financial economics, and monetary policy analysis. Due to the high dimensionality of the macroeconomic dataset, it is challenging to forecast efficiently and accurately. Thus, this study provides a comprehensive analysis of predicting macroeconomic variables by comparing various vector autoregressive models followed by different estimation techniques. To address this, this paper proposes a novel hybrid model based on a smoothly clipped absolute deviation estimation method and a vector autoregression model that combats the curse of dimensionality and simultaneously produces reliable forecasts. The proposed hybrid model is applied to the U.S. quarterly macroeconomic data from the first quarter of 1959 to the fourth quarter of 2023, yielding multi-step-ahead forecasts (one-, three-, and six-step ahead). The multi-step-ahead out-of-sample forecast results (root mean square error and mean absolute error) for the considered data suggest that the proposed hybrid model yields a highly accurate and efficient gain. Additionally, it is demonstrated that the proposed models outperform the baseline models. Finally, the authors believe the proposed hybrid model may be expanded to other countries to assess its efficacy and accuracy.",,2025,10.3390/math13111706,,proquest,"This study proposes a novel hybrid vector autoregressive (VAR) model using a smoothly clipped absolute deviation estimation method for accurate macroeconomic forecasting. Applied to U.S. quarterly data, the model effectively addresses the curse of dimensionality and outperforms baseline models in multi-step-ahead out-of-sample forecasts.",True,False,True,gemini-2.5-flash-lite,Trine,N,,2025-10-24T09:39:15.528561
f1779cf7208a0e34,A MODEL-SELECTION APPROACH TO ASSESSING THE INFORMATION IN THE TERM STRUCTURE USING LINEAR-MODELS AND ARTIFICIAL NEURAL NETWORKS,"We take a model-selection approach to the question of whether forward-interest rates are useful in predicting future spot rates, using a variety of out-of-sample forecast-based model-selection criteria-forecast mean squared error, forecast direction accuracy, and forecast-based trading-system profitability. We also examine the usefulness of a class of novel prediction models called artificial neural networks and investigate the issue of appropriate window sizes for rolling-window-based prediction methods. Results indicate that the premium of the forward rate over the spot rate helps to predict the sign of future changes in the interest rate. Furthermore, model selection based on an in-sample Schwarz information criterion (SIC) does not appear to be a reliable guide to out-of-sample performance in the case of short-term interest rates. Thus, the in-sample SIC apparently fails to offer a convenient shortcut to true out-of-sample performance measures.","SWANSON, NR; WHITE, H",1995,10.2307/1392186,,wos,"This study uses a model-selection approach to evaluate the predictive power of forward interest rates for future spot rates, employing criteria such as forecast mean squared error, direction accuracy, and trading system profitability. It also explores the utility of artificial neural networks and optimal window sizes for prediction models. The findings suggest that the forward rate premium can predict the direction of future interest rate changes, but in-sample model selection criteria like the Schwarz Information Criterion (SIC) do not reliably predict out-of-sample performance for short-term rates.",True,True,True,gemini-2.5-flash-lite,Trine,Y,,2025-10-24T09:39:33.182990
fd4f0e95b6a42d4c,A Machine Learning Approach to Forecast Economic Recessions-An Italian Case Study,"In economic activity, recessions represent a period of failure in Gross Domestic Product (GDP) and usually are presented as episodic and non-linear. For this reason, they are difficult to predict and appear as one of the main problems in macroeconomics forecasts. A classic example turns out to be the great recession that occurred between 2008 and 2009 that was not predicted. In this paper, the goal is to give a different, although complementary, approach concerning the classical econometric techniques, and to show how Machine Learning (ML) techniques may improve short-term forecasting accuracy. As a case study, we use Italian data on GDP and a few related variables. In particular, we evaluate the goodness of fit of the forecasting proposed model in a case study of the Italian GDP. The algorithm is trained on Italian macroeconomic variables over the period 1995:Q1-2019:Q2. We also compare the results using the same dataset through Classic Linear Regression Model. As a result, both statistical and ML approaches are able to predict economic downturns but higher accuracy is obtained using Nonlinear Autoregressive with exogenous variables (NARX) model.","Cicceri, Giovanni; Inserra, Giuseppe; Limosani, Michele",2020,10.3390/math8020241,,wos,"This paper presents a Machine Learning (ML) approach, specifically a Nonlinear Autoregressive with exogenous variables (NARX) model, to forecast economic recessions using Italian GDP data. The ML model is trained on macroeconomic variables from 1995:Q1-2019:Q2 and compared against a Classic Linear Regression Model. The study concludes that while both methods can predict downturns, the NARX model achieves higher accuracy.",True,False,True,gemini-2.5-flash-lite,Trine,N,,2025-10-24T09:39:47.312367
1f7924612848e55b,A Machine-Learning-Based Approach for Natural Gas Futures Curve Modeling,"This work studies the term structure dynamics in the natural gas futures market, focusing on the Dutch Title Transfer Facility (TTF) daily futures prices. At first, using the whole dataset, we compared the in-sample fitting performance of three models: the four-factor dynamic Nelson–Siegel–Svensson (4F-DNSS) model, the five-factor dynamic De Rezende–Ferreira (5F-DRF) model, and the B-spline model. Our findings suggest that B-spline is the method that achieves the best in-line fitting results. Then, we turned our attention to forecasting, using data from 20 January 2011 to 13 May 2022 as the training set and the remaining data, from 16 May to 13 June 2022, for day-ahead predictions. In this second part of the work we combined the above mentioned models (4F-DNSS, 5F-DRF and B-spline) with a Nonlinear Autoregressive Neural Network (NAR-NN), asking the NAR-NN to provide parameter tuning. All the models provided accurate out-of-sample prediction; nevertheless, based on extensive statistical tests, we conclude that, as in the previous case, B-spline (combined with an NAR-NN) ensured the best out-of-sample prediction.",,2023,10.3390/en16124746,,proquest,"This study compares the performance of three models (4F-DNSS, 5F-DRF, and B-spline) for modeling the term structure of natural gas futures prices, specifically the TTF. The B-spline model demonstrated superior in-sample fitting. For day-ahead predictions, the B-spline model, when combined with a Nonlinear Autoregressive Neural Network (NAR-NN) for parameter tuning, achieved the best out-of-sample prediction accuracy.",True,False,True,gemini-2.5-flash-lite,Trine,N,,2025-10-24T09:39:55.489454
99d0e8a05fcc941c,A Markov regime-switching model for the semiconductor industry cycles,"Because of the huge fluctuation in the semiconductor business, it has been a challenging work for the industry researchers to predict the turning points of the semiconductor industry cycles. To catch the cyclical behavior of the semiconductor business, we propose a Markov Regime-Switching model with two regimes representing expansion and contraction. The simple nonlinear, two states, regime-switching model shows a successful in-sample prediction on the contraction of semiconductor industry sales during the period of 1990:01-2003:08. (c) 2006 Elsevier B.V. All rights reserved.","Liu, Wen-Hsien; Chyi, Yih-Luan",2006,10.1016/j.econmod.2006.02.007,,wos,This paper proposes a Markov regime-switching model with two states (expansion and contraction) to predict turning points in the semiconductor industry cycles. The model successfully predicted the contraction in sales from 1990 to 2003.,True,False,True,gemini-2.5-flash-lite,Trine,N,,2025-10-24T09:40:03.028253
d476fa9fc94bed8b,A New Linear Estimator for Gaussian Dynamic Term Structure Models,"This article proposes a novel regression-based approach to the estimation of Gaussian dynamic term structure models. This new estimator is an asymptotic least-square estimator defined by the no-arbitrage conditions upon which these models are built. Further, we note that our estimator remains easy-to-compute and asymptotically efficient in a variety of situations in which other recently proposed approaches might lose their tractability. We provide an empirical application in the context of the Canadian bond market.","de los Rios, Antonio Diez",2015,10.1080/07350015.2014.948176,,wos,"This paper introduces a new regression-based estimator for Gaussian dynamic term structure models, which is asymptotically efficient and easy to compute. It is applied to the Canadian bond market.",False,True,False,gemini-2.5-flash-lite,Trine,N,,2025-10-24T09:41:20.508151
