paper_id,title,abstract,authors,year,doi,link,database,llm_summary,i1_hint,i2_hint,i3_hint,model,reviewer,decision,notes,timestamp
7887726f5a97f696,A Bayesian approach to term structure modeling using heavy-tailed distributions,"In this paper, we introduce a robust extension of the three-factor model of Diebold and Li (J. Econometrics, 130: 337-364, 2006) using the class of symmetric scale mixtures of normal distributions. Specific distributions examined include the multivariate normal, Student-t, slash, and variance gamma distributions. In the presence of non-normality in the data, these distributions provide an appealing robust alternative to the routine use of the normal distribution. Using a Bayesian paradigm, we developed an efficient MCMC algorithm for parameter estimation. Moreover, the mixing parameters obtained as a by-product of the scale mixture representation can be used to identify outliers. Our results reveal that the Diebold-Li models based on the Student-t and slash distributions provide significant improvement in in-sample fit and out-of-sample forecast to the US yield data than the usual normal-based model. Copyright © 2011 John Wiley & Sons, Ltd. © 2012 Elsevier B.V., All rights reserved.","Abanto-Valle, C.A.; Lachos, V.H.; Ghosh, P.",2012,10.1002/asmb.920,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867581627&doi=10.1002%2Fasmb.920&partnerID=40&md5=d0718ed07907681fd60bc5e4fb51dca0,scopus,"This paper proposes a robust extension of the Diebold and Li three-factor model for term structure modeling by incorporating heavy-tailed distributions (multivariate normal, Student-t, slash, and variance gamma). A Bayesian approach with an MCMC algorithm is used for parameter estimation, and mixing parameters help identify outliers. The study demonstrates that models using Student-t and slash distributions offer improved in-sample fit and out-of-sample forecasts for US yield data compared to the standard normal-based model.",True,True,True,gemini-2.5-flash-lite,Olav,M,,2025-10-13T15:16:20.479045
3cf2316bbcf2ce76,A Hybrid Vector Autoregressive Model for Accurate Macroeconomic Forecasting: An Application to the U.S. Economy,"Forecasting macroeconomic variables is essential to macroeconomics, financial economics, and monetary policy analysis. Due to the high dimensionality of the macroeconomic dataset, it is challenging to forecast efficiently and accurately. Thus, this study provides a comprehensive analysis of predicting macroeconomic variables by comparing various vector autoregressive models followed by different estimation techniques. To address this, this paper proposes a novel hybrid model based on a smoothly clipped absolute deviation estimation method and a vector autoregression model that combats the curse of dimensionality and simultaneously produces reliable forecasts. The proposed hybrid model is applied to the U.S. quarterly macroeconomic data from the first quarter of 1959 to the fourth quarter of 2023, yielding multi-step-ahead forecasts (one-, three-, and six-step ahead). The multi-step-ahead out-of-sample forecast results (root mean square error and mean absolute error) for the considered data suggest that the proposed hybrid model yields a highly accurate and efficient gain. Additionally, it is demonstrated that the proposed models outperform the baseline models. Finally, the authors believe the proposed hybrid model may be expanded to other countries to assess its efficacy and accuracy.",,2025,10.3390/math13111706,,proquest,"This study proposes a novel hybrid vector autoregressive (VAR) model using a smoothly clipped absolute deviation estimation method for accurate macroeconomic forecasting. Applied to U.S. quarterly data, the model effectively addresses the curse of dimensionality and outperforms baseline models in multi-step-ahead out-of-sample forecasts.",True,False,True,gemini-2.5-flash-lite,Olav,M,,2025-10-13T15:17:29.812929
6b84e9b3a4dbcbf6,A differential evolution algorithm for yield curve estimation,"Modeling the term structure of government bond yields is of great interest to macroeconomists and financial market practitioners. It is crucial for bonds and derivatives pricing, risk management, and reveals market expectations, which is essential for monetary policy decisions. This paper suggests the use of a differential evolutionary algorithm to estimate yield curves for US Treasury bonds. It considers parsimonious modeling to avoid non-convergence and high instability of traditional optimization algorithms when estimating model parameters caused by the choice of their initial values during curve fitting. In this approach, the whole yield curve for different maturities is obtained by models parameters estimates. Computational experiments show that the differential evolutionary algorithm provides more accurate yield curves than the ones derived by nonlinear least squares and genetic algorithm approaches. © 2016 Elsevier B.V., All rights reserved.","Maciel, L.; Gomide, F.; Ballini, R.",2016,10.1016/j.matcom.2016.04.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971623035&doi=10.1016%2Fj.matcom.2016.04.004&partnerID=40&md5=b9d939ee042f35134b929a881b51fb90,scopus,"This paper proposes a differential evolutionary algorithm for estimating yield curves of US Treasury bonds. It aims to overcome limitations of traditional optimization methods by using a parsimonious modeling approach. The algorithm's accuracy is compared to nonlinear least squares and genetic algorithms, showing superior performance.",True,True,False,gemini-2.5-flash-lite,Olav,M,,2025-10-13T15:21:00.385216
cf9f62572b2d6956,A nonlinear general equilibrium model of the term structure of interest rates,"We derive and test an alternative closed-form general equilibrium model of the term structure within the Cox, Ingersoll, and Ross theoretical framework in which yields are nonlinear functions of the risk-free rate. We show that equilibrium bond prices and the risk-free rate are not always inversely related and that bond risk need not be strictly increasing in maturity. Using Hansen's generalized method of moments to obtain parameter estimates, this nonlinear model outperforms the Cox, Ingersoll, and Ross square root model in describing actual Treasury bill yields for the 1964-1986 period. © 1989. © 2014 Elsevier B.V., All rights reserved.","Longstaff, F.A.",1989,10.1016/0304-405x(89)90056-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0344971168&doi=10.1016%2F0304-405X%2889%2990056-1&partnerID=40&md5=da37d31c6e2c300ffdead5c18b5cebfc,scopus,"This paper presents a nonlinear general equilibrium model of the term structure of interest rates, building upon the Cox, Ingersoll, and Ross framework. The model suggests that yields are nonlinear functions of the risk-free rate, and that bond prices and risk-free rates are not always inversely related, with bond risk not necessarily increasing with maturity. Empirical testing using the generalized method of moments shows this nonlinear model outperforms the original Cox, Ingersoll, and Ross model in describing Treasury bill yields from 1964-1986.",True,True,False,gemini-2.5-flash-lite,Olav,M,,2025-10-13T15:24:48.137090
27cdb45de7c97a28,A parametric nonlinear model of term structure dynamics,"Recent nonparametric estimation studies pioneered by Aït-Sahalia document that the diffusion of the short rate is similar to the parametric function, r1.5, estimated by Chan et al., whereas the drift is substantially nonlinear in the short rate. These empirical properties call into question the efficacy of the existing affine term structure models and beg for alternative models which admit the observed behavior. This article presents such a model. Our model delivers closed-form solutions for bond prices and a concave relationship between the interest rate and the yields. We show that in empirical analyses, our model outperforms the one-factor affine models in both time-series as well as cross-sectional tests. © 2016 Elsevier B.V., All rights reserved.","Ahn, D.-H.; Gao, B.",1999,10.1093/rfs/12.4.721,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033410115&doi=10.1093%2Frfs%2F12.4.721&partnerID=40&md5=1194eb86b455e11c6bbe2174bdea396f,scopus,"This article proposes a nonlinear parametric model for term structure dynamics, addressing limitations of existing affine models by incorporating nonlinear drift and a diffusion similar to r1.5. The model provides closed-form solutions for bond prices and a concave interest rate-yield relationship, outperforming one-factor affine models in empirical tests.",True,True,False,gemini-2.5-flash-lite,Olav,M,,2025-10-13T15:25:30.366093
78921cc3f5612ddb,A re-evaluation of the term spread as a leading indicator,"Forecasting the evolution path of macroeconomic variables has always been of keen interest to policy makers and market participants. A common tool used in the relevant forecasting literature is the term spread of Treasury bond yields. In this paper, we decompose the term spread into an expectation and a term premium component and evaluate the informational content of each component in forecasting the GDP growth rate and inflation in various forecasting horizons. In doing so, we employ alternative decomposition procedures and introduce the Support Vector Regression (SVR) methodology from the field of Machine Learning, coupled with linear and non-linear kernels as a novel forecasting method in the field. Using rolling windows in producing point and conditional probability distribution forecasts we find that neither the term spread, nor its decomposition components possess the ability to accurately forecast output growth or inflation. Our findings extend the existing literature, since they are focused on an explicit out-of-sample evaluation in contrast to most existing empirical studies that produce only in-sample forecasts. To strengthen our findings, we also consider several control variables suggested in the relevant literature without significant qualitative differences from the initial results. The main innovation of our approach stems from the use of the non-linear Support Vectors Machine methodology, that is introduced for the first time in this line of research for forecasting out-of-sample. © 2019 Elsevier B.V., All rights reserved.","Plakandaras, V.; Gogas, P.; Papadimitriou, T.; Gupta, R.",2019,10.1016/j.iref.2019.07.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071871619&doi=10.1016%2Fj.iref.2019.07.002&partnerID=40&md5=b1cce98b67b0a1da2aeeb00c223c6d90,scopus,"This paper re-evaluates the term spread of Treasury bond yields as a leading indicator for GDP growth and inflation. It decomposes the term spread into expectation and term premium components and uses Support Vector Regression (SVR) with linear and non-linear kernels for out-of-sample forecasting. The study finds that neither the term spread nor its components accurately forecast output growth or inflation, even with control variables. The novelty lies in the application of non-linear SVR for out-of-sample forecasting in this research area.",True,True,True,gemini-2.5-flash-lite,Olav,M,,2025-10-13T15:26:20.625398
5b1ba23957effe90,Affine arbitrage-free yield net models with application to the euro debt crisis,"We develop a parsimonious class of affine arbitrage-free yield net models for consistent bond pricing across maturities and issuers of different risk levels. Containing a core curve and multiple peripheral curves, the yield net is spanned by three layers of factors: base factors spanning all curves, and common and individual spread factors. Under the arbitrage-free assumption, we prove a parsimonious solution to the risk-neutral process that guarantees joint identification of parameters and latent states. By using a Bayesian estimation method with a marginal Metropolis–Hastings algorithm and specification tests based on MCMC output, we apply the model to weekly treasury yields of Germany, Italy, Spain, and Greece from 2009 to 2016. The results show that the extracted common credit risk is a level factor in spread, and market liquidity risk is a slope factor. Further, the net structure helps reconstruct the Greek yield curve even with only its 10-year yield available throughout the sample. © 2022 Elsevier B.V., All rights reserved.","Hong, Z.; Niu, L.; Zhang, C.",2022,10.1016/j.jeconom.2021.11.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122961603&doi=10.1016%2Fj.jeconom.2021.11.002&partnerID=40&md5=01905cc014d6ef66741afd239638d650,scopus,"This paper introduces a class of affine arbitrage-free yield net models for bond pricing, incorporating multiple curves and factor layers. It uses a Bayesian estimation method with a Metropolis-Hastings algorithm and applies it to European treasury yields from 2009-2016. The findings highlight the roles of common credit risk and market liquidity risk, and demonstrate the model's ability to reconstruct yield curves.",True,True,False,gemini-2.5-flash-lite,Olav,M,,2025-10-13T15:28:29.466867
91e92775d7b84bf0,Are quantitative easing effects transitory? Evidence from out-of-sample forecasts,"Purpose>Advocates of quantitative easing (QE) policies have emphasized some evidence that structural models do not predict long-term asset yields as well as naive forecasts, implying that predictions of price reversals cannot be profitable and that QE effects are not transitory. The purpose of this study is to reconsider the out-of-sample forecasting performance of structural time series processes relative to that of a random walk with or without drift.Design/methodology/approach>This study uses bivariate vector autoregression and Markov switching representations to generate out-of-sample forecasts of ten-year sovereign bond yields, when the information set is augmented by including the growth rate of the monetary base, and the estimation relies on monthly data from countries that have pursued unconventional policies over the last decade.Findings>The results show that naive forecasts are not better than those of structural time series models, based on root mean squared errors, while the Markov model provides additional information on price reversals, through probabilistic inferences regarding policy regime switches, which can induce agents to counteract QE interventions and reduce their effectiveness.Originality/value>The novel features of this work are the use of a large information set including the instrument of unconventional monetary policy, the use of a structural model (Markov process) that can really inform about potential asset price reversals and the use of a large sample over which QE policies have been pursued.",,2022,10.1108/jfep-04-2022-0099,,proquest,"This study investigates whether quantitative easing (QE) effects are transitory by comparing the out-of-sample forecasting performance of structural time series models against naive forecasts. Using bivariate vector autoregression and Markov switching models with monthly data from countries that have implemented QE, the research finds that naive forecasts are not superior to structural models. The Markov model, in particular, offers insights into price reversals and policy regime switches that can mitigate QE effectiveness.",True,True,True,gemini-2.5-flash-lite,Olav,M,,2025-10-13T15:31:24.629128
9cf59f608ef4415d,Autoencoder-Based Three-Factor Model for the Yield Curve of Japanese Government Bonds and a Trading Strategy,"Interest rates are representative indicators that reflect the degree of economic activity. The yield curve, which combines government bond interest rates by maturity, fluctuates to reflect various macroeconomic factors. Central bank monetary policy is one of the significant factors influencing interest rate markets. Generally, when the economy slows down, the central bank tries to stimulate the economy by lowering the policy rate to establish an environment in which companies and individuals can easily raise funds. In Japan, the shape of the yield curve has changed significantly in recent years following major changes in monetary policy. Therefore, an increasing need exists for a model that can flexibly respond to the various shapes of yield curves. In this research, we construct a three-factor model to represent the Japanese yield curve using the machine learning approach of an autoencoder. In addition, we focus on the model parameters of the intermediate layer of the neural network that constitute the autoencoder and confirm that the three automatically generated factors represent the “Level,” “Curvature,” and “Slope” of the yield curve. Furthermore, we develop a long–short strategy for Japanese government bonds by setting their valuation with the autoencoder, and we confirm good performance compared with the trend-follow investment strategy.",,2020,10.3390/jrfm13040082,,proquest,"This study develops an autoencoder-based three-factor model to represent the Japanese government bond yield curve, identifying factors corresponding to Level, Curvature, and Slope. The model's parameters are used to create a long-short trading strategy for Japanese government bonds, which demonstrates superior performance compared to a trend-following strategy.",True,True,False,gemini-2.5-flash-lite,Olav,M,,2025-10-13T15:33:10.496596
aaff782e22358a7e,Bayesian inference and state number determination for hidden Markov models: an application to the information content of the yield curve about inflation,"This paper is concerned with Bayesian inference in hidden Markov models. Focusing oil switching regression models, we propose a new methodology that delivers a joint estimation of the parameters and the number of regimes that have actually appeared in the studied sample. The only prior information that is required on the latter quantity is an upper bound. We implement a particle filter algorithm to compute the corresponding estimates. Applying this methodology to the information content of the yield curve regarding future inflation in four OECD countries, we show that the predictive content for given country and combination of maturities is subject to regime switching. (C) 2003 Elsevier B.V. All rights reserved.","Chopin, N; Pelgrin, F",2004,10.1016/j.jeconom.2003.12.010,,wos,"This paper proposes a Bayesian inference methodology for hidden Markov models, specifically for switching regression models. It jointly estimates model parameters and the number of regimes, requiring only an upper bound for the number of regimes. A particle filter algorithm is used for computation. The methodology is applied to analyze the information content of the yield curve regarding future inflation in four OECD countries, revealing regime switching in predictive content.",True,True,True,gemini-2.5-flash-lite,Olav,M,,2025-10-13T15:33:52.994884
