"Title","Subtitle","Author","Publication","SourceType","Publisher","Volume","Issue","PubDate","AlphaDate","StartPage","EndPage","PageRange","ISSN","EISSN","ISBN","Language","Abstract","DocumentUrl","DOI"
"Constant Proportion Portfolio Insurance Strategy in Southeast European Markets","","Agic-Sabeta, Elma","Business Systems Research","Scholarly Journals","","7","1","2016-03-01","2016","59","","59-80","18478344","","","ENG","Background: In today's highly volatile and unpredictable market conditions, there are very few investment strategies that may offer a certain form of capital protection. The concept of portfolio insurance strategies presents an attractive investment opportunity.Objectives: The main objective of this article is to test the use of portfolio insurance strategies in Southeast European (SEE) markets. A special attention is given to modelling non-risky assets of the portfolio.Methods/Approach: Monte Carlo simulations are used to test the buy-and-hold, the constant-mix, and the constant proportion portfolio insurance (CPPI) investment strategies. A covariance discretization method is used for parameter estimation of bond returns.Results: According to the risk-adjusted return, a conservative constant mix was the best, the buy-and-hold was the second-best, and the CPPI the worst strategy in bull markets. In bear markets, the CPPI was the best in a high-volatility scenario, whereas the buy-and-hold had the same results in low- and medium-volatility conditions. In no-trend markets, the buy-and-hold was the first, the constant mix the second, and the CPPI the worst strategy. Higher transaction costs in SEE influence the efficiency of the CPPI strategy.Conclusions: Implementing the CPPI strategy in SEE could be done by combining stock markets from the region with government bond markets from Germany due to a lack of liquidity of the government bond market in SEE.","https://www.proquest.com/docview/1819266075?accountid=12870&bdid=124553&_bd=eQfMFn%2B7JwLEI8%2FTg7ujfEJ9b7o%3D","https://doi.org/10.1515/bsrj-2016-0005"
"Forecasting market trends with neural networks","","Aiken, Milam; Bsat, Mohammad","Information Systems Management","Scholarly Journals","","16","4","1999-10-01","Fall 1999","42","","42-48","10580530","","","ENG","Neural networks are just one of the many technologies that are giving businesses a competitive edge.  Neural networks (NN) are a branch of artificial intelligence which has generated considerable interest across many disciplines during the past few years.  An NN is a nonlinear type of model which receives its inspiration from the neural architecture of the human brain.  Three sample neural networks are presented:  1.  real estate assessment, 2.  credit application evaluation, and 3.  Treasury Bill rate forecasting.","https://www.proquest.com/docview/214123586?accountid=12870&bdid=124553&_bd=v4KeDMRTyNqFqga04Z000S9c7aI%3D",""
"The economic value of advanced time series methods for modelling and trading 10-year government bonds","","Dunis, Christian L; Morrison, Vincent","European journal of finance","Undefined","","13","3-4","2007-04-01","Apr 2007","333","352","333-352","1351-847X","1351-847X","","ENG","The motivation for this paper is to determine the potential economic value of advanced modelling methods for devising trading decision tools for 10-year Government bonds. Two advanced methods are used: time-varying parameter models with the implementation of state space modelling using a Kalman filter and nonparametric nonlinear models with Neural Network Regression (NNR). These are benchmarked against more traditional forecasting techniques to ascertain their potential as a forecasting tool and their economic value as a base for a trading decision tool. The models were developed using data from the UK Gilt market, US T-Bond market and German Bund market. Using in-sample data from April 2001 to January 2003 to develop the models, their results were assessed using the out-of-sample period of January 2003 to June 2003. Performance evaluation was based upon forecasting accuracy measures and financial criteria using a simulated trading strategy incorporating realistic trading costs. It is concluded that for the time series studied and for the period under investigation, the performance of the advanced models is mixed. While the NNR models have the ability to forecast the 10-year Government bond yield and add economic value as a trading decision tool, the Kalman filter models' performance is not as conclusive. The Kalman filter models outperformed the traditional techniques using forecasting accuracy measures, however they did not perform as well in the simulated trading strategy. Reprinted by permission of Routledge, Taylor and Francis Ltd.","https://www.proquest.com/docview/36799248?accountid=12870&bdid=124553&_bd=p%2ByQkVUWzbUEmdOXRcV%2FqyXzC0w%3D","https://doi.org/10.1080/13518470600880010"
"Forecasting the stock risk premium: A new statistical constraint","","Hao, Xianfeng; Wang, Yudong","Journal of Forecasting","Scholarly Journals","","42","7","2023-11-01","Nov 2023","1805","1822","1805-1822","02776693","","","ENG","We develop a new statistical constraint to improve the stock return forecasting performance of predictive models. This constraint uses a new objective function that combines the Huber loss function with the Ridge penalty. Out‐of‐sample results indicate that our constraint improves the predictive ability of the univariate models. The constrained univariate models significantly outperform the historical average benchmark model assuming no predictability. The forecast improvement based on the new constraint is also evident for multivariate information methods including forecast combination and diffusion index. The model is capable of capturing time‐varying risk which serves as the potential economic explanation of the improved return predictability. Our results are robust to different evaluation subsamples, validation sample lengths, and different risk aversion coefficients.","https://www.proquest.com/docview/2870820629?accountid=12870&bdid=124553&_bd=58aNYdjIX6dwNR3kfeMxiEICgmw%3D","https://doi.org/10.1002/for.2984"
"The Economic Value of Advanced Time Series Methods for Modelling and Trading 10-year Government Bonds","","Dunis, Christian L; Morrison, Vincent","The European Journal of Finance","Scholarly Journals","","13","4","2007-06-01","Jun 2007","333","","","1351847X","","","ENG","The motivation for this paper is to determine the potential economic value of advanced modelling methods for devising trading decision tools for 10-year Government bonds. Two advanced methods are used: time-varying parameter models with the implementation of state space modelling using a Kalman filter and nonparametric nonlinear models with Neural Network Regression (NNR). These are benchmarked against more traditional forecasting techniques to ascertain their potential as a forecasting tool and their economic value as a base for a trading decision tool. The models were developed using data from the UK Gilt market, US T-Bond market and German Bund market. Using in-sample data from April 2001 to January 2003 to develop the models, their results were assessed using the out-of-sample period of January 2003 to June 2003. Performance evaluation was based upon forecasting accuracy measures and financial criteria using a simulated trading strategy incorporating realistic trading costs. It is concluded that for the time series studied and for the period under investigation, the performance of the advanced models is mixed. While the NNR models have the ability to forecast the 10-year Government bond yield and add economic value as a trading decision tool, the Kalman filter models' performance is not as conclusive. The Kalman filter models outperformed the traditional techniques using forecasting accuracy measures, however they did not perform as well in the simulated trading strategy. [PUBLICATION ABSTRACT]","https://www.proquest.com/docview/215875801?accountid=12870&bdid=124553&_bd=DoVoVjurbWv1zOupEljQy9KACoM%3D",""
"Option-Based Estimation of the Price of Coskewness and Cokurtosis Risk","","Fournier, Mathieu; Jacobs, Kris; Karoui, Mehdi; Christoffersen, Peter","Journal of Financial and Quantitative Analysis","Scholarly Journals","","56","1","2021-02-01","Feb 2021","65","","","00221090","","","ENG","We show that the prices of risk for factors that are nonlinear in the market return can be obtained using index option prices. The price of coskewness risk corresponds to the market variance risk premium, and the price of cokurtosis risk corresponds to the market skewness risk premium. Option-based estimates of the prices of risk lead to reasonable values of the associated risk premia. An analysis of factor models with coskewness risk indicates that the new estimates of the price of risk improve the models' performance compared with regression-based estimates.","https://www.proquest.com/docview/2485545127?accountid=12870&bdid=124553&_bd=FdDIGac0qLa7A%2FIso%2F743WcN9Po%3D","https://doi.org/10.1017/S002210902000023X"
"Condition Prediction for Existing Educational Facilities Using Artificial Neural Networks and Regression Analysis","","Hassan, Ahmed M; Hassan, Ahmed M; Kareem Adel; Elhakeem, Ahmed; Elmasry, Mohamed I S","Buildings","Scholarly Journals","","12","10","2022-01-01","2022","1520","","","20755309","","","ENG","Infrastructural assets such as roads, bridges, and buildings make a considerable contribution to national economies. These assets deteriorate due to aging, environmental conditions, and other external factors. Maintaining the performance of an asset in line with rational repair strategies represents a considerable challenge for decision-makers, who may not pay attention to developing adequate maintenance plans or leave the assets unmaintained. Worldwide, organizations are under pressure to ensure the sustainability of their assets. Such organizations may burden their treasury with random maintenance operations, especially with a limited budget. This research aims to develop a generalized condition assessment approach to monitor and evaluate existing facility elements. The proposed approach represents a methodology to determine the element condition index (CI). The methodology is reinforced with an artificial neural network (ANN) model to predict the element deterioration. The performance of this model was evaluated by comparing the obtained predicted CIs with ordinary least squares (OLS) regression model results to choose the most accurate prediction technique. A case study was applied to a group of wooden doors. The ANN model showed reliable results with R2 values of 0.99, 0.98, and 0.99 for training, cross-validation, and testing sets, respectively. In contrast, the OLS model R2 value was 1.00. These results show the high prediction capability of both models with an advantage to the OLS model. Applying this approach to different elements can help decision-makers develop a preventive maintenance schedule and provide the necessary funds.","https://www.proquest.com/docview/2728448434?accountid=12870&bdid=124553&_bd=4%2FXzNOifA1M1M0iZ1pei73D3Qvk%3D","https://doi.org/10.3390/buildings12101520"
"Wavelet Neural Network Model for Yield Spread Forecasting","","Firdous Ahmad Shah; Debnath, Lokenath","Mathematics","Scholarly Journals","","5","4","2017-01-01","2017","72","","","22277390","","","ENG","In this study, a hybrid method based on coupling discrete wavelet transforms (DWTs) and artificial neural network (ANN) for yield spread forecasting is proposed. The discrete wavelet transform (DWT) using five different wavelet families is applied to decompose the five different yield spreads constructed at shorter end, longer end, and policy relevant area of the yield curve to eliminate noise from them. The wavelet coefficients are then used as inputs into Levenberg-Marquardt (LM) ANN models to forecast the predictive power of each of these spreads for output growth. We find that the yield spreads constructed at the shorter end and policy relevant areas of the yield curve have a better predictive power to forecast the output growth, whereas the yield spreads, which are constructed at the longer end of the yield curve do not seem to have predictive information for output growth. These results provide the robustness to the earlier results.","https://www.proquest.com/docview/1988600071?accountid=12870&bdid=124553&_bd=AYLKTmDsex0HAl4cgjTq8eKAjFM%3D","https://doi.org/10.3390/math5040072"
"Perspectives on the equity risk premium","","Siegel, Jeremy J","Financial analysts journal","Undefined","","61","6","2005-11-01","Nov 2005","61","73","61-73","0015-198X","0015-198X","","ENG","The equity risk premium has commanded the attention of professional economists and investment practitioners for decades. It is critical in financial economics; it determines asset allocations, projections of retirement and endowment wealth, and the cost of capital. Economists are still searching for a simple model that justifies the premium in face of the much lower volatility of aggregate economic data. Although the future equity risk premium is apt to be lower than it has been historically, U.S. equity returns of 2-3 percent over bonds will still amply reward those who will tolerate the short-term risk of stocks.","https://www.proquest.com/docview/36494180?accountid=12870&bdid=124553&_bd=tirAOkxPqHlsqoEwGEQNOCb40OE%3D",""
"Factor Investment or Feature Selection Analysis?","","Jifang Mai; Zhang, Shaohua; Zhang, Shaohua; Zhao, Haiqing; Pan, Lijun","Mathematics","Scholarly Journals","","13","1","2025-01-01","2025","9","","","22277390","","","ENG","This study has made significant findings in A-share market data processing and portfolio management. Firstly, by adopting the Lasso method and CPCA framework, we effectively addressed the problem of multicollinearity among feature indicators, with the Lasso method demonstrating superior performance in handling this issue, thus providing a new method for financial data processing. Secondly, Deep Feedforward Neural Networks (DFN) exhibited exceptional performance in portfolio management, significantly outperforming other evaluated machine learning methods, and achieving high levels of out-of-sample performance and Sharpe ratios. Additionally, we consistently identified price changes, earnings per share, net assets per share, and excess returns as key factors influencing predictive signals. Finally, this study combined the Lasso method with DFN, providing a new perspective and methodological support for asset pricing measurement in the financial field.","https://www.proquest.com/docview/3153800408?accountid=12870&bdid=124553&_bd=KcfDk29IhkHLYRJgEwdh3LX%2FTqY%3D","https://doi.org/10.3390/math13010009"
"Risk premia and seasonality in commodity futures","","Hevia, Constantino; Petrella, Ivan; Sola, Martin","Journal of Applied Econometrics","Scholarly Journals","","33","6","2018-09-01","Sep/Oct 2018","853","873","853-873","08837252","","","ENG","We develop and estimate a multifactor affine model of commodity futures that allows for stochastic seasonality. We document the existence of stochastic seasonal fluctuations in commodity futures and that properly accounting for the cost‐of‐carry curve requires at least three factors. We estimate the model using data on heating oil futures and analyze the contribution of the factors to risk premia. Correctly specifying seasonality as stochastic is important to avoid erroneously assigning those fluctuations to other risk factors. We also estimate a nonlinear version of the model that imposes the zero lower bound on interest rates and find similar results.","https://www.proquest.com/docview/2115224402?accountid=12870&bdid=124553&_bd=kaH8uyTdqlK3IfVToWMamYE8BFU%3D","https://doi.org/10.1002/jae.2631"
"Constructing Risk Analysis for Changes in China’s Local Government Bond System Based on SSP","","Xie, Ping; Zhang, Chunyan","Mobile Information Systems","Scholarly Journals","","2022","","2022-01-01","2022","","","","1574-017X","1875-905X","","ENG","The local government bond system of China has experienced a series of changes from its initial creation to its abolition and then to a recovery again. During the period, the central government always dominated the changing direction of the local government bond system. However, as fiscal decentralization reform has progressed, the institutional needs of local governments and investors have gradually gained attention. As a result, the size and variety of local government bonds are expanding. Through the introduction of analysis of system change based on situation structure performance (SSP), this paper uses Machine Learning (ML) approaches to predict the risk of government debt of China in the context of changing the local government bond system. Besides, this research work includes the comprehensive weight assignment for government debt hazard, fiscal revenue forecasting, default risk calculation, and finally an analysis of the validity of government debt hazard. The system may provide financial signal advice and strategy reference for dealing with hazards in early payment, organizing debt repayment significance order, optimizing fiscal revenue and cost structure, and so on.","https://www.proquest.com/docview/2704753953?accountid=12870&bdid=124553&_bd=yBV9Ditpd012FV1tQeGbxjK2Iho%3D","https://doi.org/10.1155/2022/4606905"
