"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Bao, G.; Niu, Y.; Cui, B.; Ji, W.","Bao, Guanhao (60089192700); Niu, Yunbo (58128258000); Cui, Baisheng (58110296500); Ji, Wanying (60089728800)","60089192700; 58128258000; 58110296500; 60089728800","Revealing the correlation between economic indicators and gold prices for forecasting: Medium term forecast framework with data patch","2026","Expert Systems with Applications","298","","129594","","","0","0","10.1016/j.eswa.2025.129594","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015297138&doi=10.1016%2Fj.eswa.2025.129594&partnerID=40&md5=b39221e28ac6635c40a32273e8371cef","Predicting gold prices through the analysis of key economic indicators such as inflation rates, Government Bond Yields, and the U.S. Dollar Index, alongside historical Gold Prices, is crucial for enabling investors to better understand market dynamics and make vital decisions to maximize returns. However, previous studies have faced challenges in extracting hidden factors related to gold price prediction from diverse economic indicators, and the comprehensive exploration of gold price data is yet to be fully achieved. To address this, the present study introduces a mid to long-term gold price prediction model named DPformer. This model utilizes a patching strategy to investigate the relationships between different economic indicators and Gold Prices. It also employs a decomposition approach to discover the mid to long-term trend characteristics and yearly seasonal patterns of Gold Prices. The core of the model integrates a Transformer module, which is solely based on an Encoder structure, and enhances it with multiple attention mechanisms and convolutions. This enhancement allows the improved Transformer model to more effectively capture the long-term dependencies of Gold Prices. The empirical results demonstrate that DPformer consistently outperforms a suite of advanced models widely adopted in terms of mid to long-term forecasting accuracy, including LSTM, GRU, Transformer, DLinear, and PatchTST. Notably, for the 30-step gold price prediction task, DPformer achieves a 21.78 % reduction in Mean Squared Error compared to PatchTST. Moreover, by quantitatively analyzing how various economic indicators influence gold price forecasts, this study provides substantial support for investors in making informed decisions at critical moments. © 2025 Elsevier B.V., All rights reserved.","Economic indicators; Gold price; Patching; Time series; Transformer","Costs; Economic analysis; Financial markets; Forecasting; Gold; Inflation; Investments; Economic indicators; Gold prices; Government bonds; Inflation rates; Medium term; Patching; Price prediction; Times series; Transformer; US dollar; Time series","Article","Final","","Scopus","2-s2.0-105015297138"
"Hayawi, K.; Shahriar, S.; Samuel Mathew, S.S.; Polyzos, E.; Ganguli, K.K.","Hayawi, Kadhim (16238471000); Shahriar, Sakib (57216440105); Samuel Mathew, Sujith Samuel (55039814800); Polyzos, Efstathios (58018018100); Ganguli, Kaustuv Kanti (56094514100)","16238471000; 57216440105; 55039814800; 58018018100; 56094514100","Diving into recession: the collective knowledge of online users as an early warning system for recessionary expectations","2026","Information and Management","63","1","104252","","","0","0","10.1016/j.im.2025.104252","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015563853&doi=10.1016%2Fj.im.2025.104252&partnerID=40&md5=a7e2b0bfc6dee3e9b87a6eddcf573d18","As concerns about economic downturns manifest in online discussions, we investigate whether sentiment extracted from social media can serve as an early warning signal for recessionary pressures. Using a dataset of Twitter (X) posts related to economic prospects, we apply a range of sentiment analysis techniques, including a lexicon and rule-based method (VADER) and deep learning approaches (GPT and BERT). We assess the relationship between online sentiment and key recession indicators, such as the yield curve and GDPNow forecasts, using a combination of econometric and machine learning methods. In addition, we perform a comparative evaluation of sentiment classification techniques, incorporating both traditional models and deep learning architectures. Our results confirm that Twitter discussions precede changes in recessionary indicators and can thus provide forward-looking insights into economic sentiment. Furthermore, the comparative analysis reveals variations in sentiment detection across different methodologies, emphasizing the importance of selecting appropriate approaches in economic forecasting. © 2025 Elsevier B.V., All rights reserved.","Machine learning; Natural language processing; Recession; Sentiment analysis; Social media; Yield curve","Deep learning; E-learning; Economic analysis; Learning algorithms; Learning systems; Social networking (online); Statistics; Early Warning System; Language processing; Machine-learning; Natural language processing; Natural languages; Online users; Recession; Sentiment analysis; Social media; Yield curve","Article","Final","","Scopus","2-s2.0-105015563853"
"Su, X.; Lu, K.; Yen, J.","Su, Xianran (59978828000); Lu, Ke (59932523500); Yen, Jerome (57216413467)","59978828000; 59932523500; 57216413467","Objective Black-Litterman views through deep learning: A novel hybrid model for enhanced portfolio returns","2026","Expert Systems with Applications","295","","128868","","","0","0","10.1016/j.eswa.2025.128868","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009900832&doi=10.1016%2Fj.eswa.2025.128868&partnerID=40&md5=b27f0493fa3bcfd8ab0088a189292bd7","The Black-Litterman Model is a sophisticated approach to portfolio optimization that integrates investor views with market data. However, the model's effectiveness is highly dependent on the quality of its inputs and is often challenged by subjective or biased views. Recent advancements in deep learning have enabled the generation of more objective, data-driven views, significantly enhancing the model's accuracy and reliability. In this study, we propose a novel CGL-BL Model, which employs a hybrid deep learning approach—CEEMDAN-GLSTM-LSTM (CGL)—to generate investor views. The CGL model leverages the CEEMDAN algorithm for return-based time series decomposition, a Genetic Algorithm-optimized LSTM network to enhance prediction accuracy, and an additional LSTM network for nonlinear aggregation of prediction results. The proposed CGL-BL model was evaluated on both the SSE 50 Index in China and the DJIA in the United States. Empirical results show that the proposed CGL-BL model outperforms all benchmark portfolios in terms of excess return, Sharpe ratio, and maximum drawdown when applied with a short-term rebalancing strategy on the SSE 50 Index and a medium-to-long-term strategy on the DJIA, demonstrating strong potential for practical application in financial markets. © 2025 Elsevier B.V., All rights reserved.","Black-Litterman; CEEMDAN; LSTM; Portfolio management; Stock market prediction","Benchmarking; Commerce; Decentralized finance; Deep learning; Electronic trading; Forecasting; Genetic algorithms; Investments; Black-litterman; CEEMDAN; Data driven; Hybrid model; LSTM; Market data; Model reliability; Portfolio managements; Portfolio optimization; Stock market prediction; Financial markets","Article","Final","","Scopus","2-s2.0-105009900832"
"Yan, H.; Peters, G.; Bagnarosa, G.; Chan, J.","Yan, Hongxuan (59973777600); Peters, Gareth William (55764426800); Bagnarosa, Guillaume (56480793000); Chan, Jennifer So Kuen (24467617500)","59973777600; 55764426800; 56480793000; 24467617500","Futures Open Interest and Speculative Pressure Dynamics via Bayesian Models of Long-Memory Count Processes","2025","Journal of Forecasting","44","7","","2252","2276","0","0","10.1002/for.70001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009700778&doi=10.1002%2Ffor.70001&partnerID=40&md5=72ceb973c96f77374b0a2198f1f0c781","In this work, we develop time series regression models for long-memory count processes based on the generalized linear Gegenbauer autoregressive moving average (GLGARMA) framework. We present a comprehensive Bayesian formulation that addresses both in-sample and out-of-sample forecasting within a broad class of generalized count time series regression models. The GLGARMA framework supports various count distributions, including Poisson, negative binomial, generalized Poisson, and double Poisson distributions, offering the flexibility to capture key empirical characteristics such as underdispersion, equidispersion, and overdispersion in the data. We connect the counting process to a time series regression framework through a link function, which is associated with a stochastic linear predictor incorporating the family of long-memory GARMA models. This linear predictor is central to the model's formulation, requiring careful specification of both the GLGARMA Bayesian likelihood and the resulting posterior distribution. To model the stochastic error terms driving the linear predictor, we explore two approaches: parameter-driven and observation-driven frameworks. For model estimation, we adopt a Bayesian approach under both frameworks, leveraging advanced sampling techniques, specifically the Riemann manifold Markov chain Monte Carlo (MCMC) methods implemented via R-Stan. To demonstrate the practical utility of our models, we conduct an empirical study of open interest dynamics in US Treasury Bond Futures. Our Bayesian models are used to forecast speculative pressure, a crucial concept for understanding market behavior and agent actions. The analysis includes 136 distinct time series from the US Commodity Futures Trading Commission (CFTC), encompassing futures-only and futures-and-options data across four US government-issued fixed-income securities. Our findings indicate that the proposed Bayesian GLGARMA models outperform existing state-of-the-art models in forecasting open interest and speculative pressure. These improvements in forecast accuracy directly enhance portfolio performance, underscoring the practical value of our approach for bond futures portfolio construction. This work advances both the methodology for modeling long-memory count processes and its application in financial econometrics, particularly in improving the forecasting of speculative pressure and its impact on investment strategies. © 2025 Elsevier B.V., All rights reserved.","Bayesian forecasting; Gegenbauer long memory; GLARMA; hedging pressure; liquidity; long-memory count processes; open interest; traded volume","Autoregressive moving average model; Bayesian networks; Commerce; Economic analysis; Electronic trading; Financial markets; Forecasting; Investments; Regression analysis; Stochastic models; Stochastic systems; Time series; Time series analysis; Bayesian forecasting; Count process; Gegenbaue long memory; Gegenbauer; GLARMA; Hedging pressures; Liquidity; Long memory; Long-memory count process; Open interest; Traded volume; Poisson distribution","Article","Final","","Scopus","2-s2.0-105009700778"
"Wang, L.; Wang, Y.; Wang, J.; Yu, L.","Wang, Lei (57207492716); Wang, Yan (59974911200); Wang, Jining (38562244900); Yu, Lean (57318182500)","57207492716; 59974911200; 38562244900; 57318182500","Forecasting nonlinear green bond yields in China: Deep learning for improved accuracy and policy awareness","2025","Finance Research Letters","85","","107889","","","0","3","10.1016/j.frl.2025.107889","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009696841&doi=10.1016%2Fj.frl.2025.107889&partnerID=40&md5=3f3d8b8a179e9671678fa81f21beab95","This study develops a convolutional neural network bidirectional long short-term memory model with an attention mechanism to forecast yields in China's green bond market. The model incorporates macroeconomic indicators, financial variables, policy factors, and issuer heterogeneity to enhance predictive accuracy. Empirical results show the model outperforms traditional approaches in point forecasting. It also offers superior robustness under identical confidence levels, increasing its utility for risk management and policy assessment in green finance. It is a practical tool for regulators, investors, and issuers. © 2025 Elsevier B.V., All rights reserved.","Attention mechanism; Bidirectional long short-term memory; Convolutional neural network; Green bonds yield; Prediction model","","Article","Final","","Scopus","2-s2.0-105009696841"
"Wang, M.Y.-F.; Wang, Y.-F.","Wang, Max Yue Feng (59419392800); Wang, Yifan (57221738224)","59419392800; 57221738224","Comparing Machine Learning Models for Short-Term U.S. Treasury Yield Forecasting","2025","Concurrency and Computation: Practice and Experience","37","23-24","e70265","","","0","0","10.1002/cpe.70265","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015141371&doi=10.1002%2Fcpe.70265&partnerID=40&md5=47ea3ed053791be37d1bc13f1326b377","This study examines historical trends in the U.S. 10-year Treasury yield and evaluates the effectiveness of four machine learning models, linear regression, decision tree, random forest, and multi-layer perceptron (MLP) neural networks, for short-term yield forecasting. As a key benchmark in global financial markets, the 10-year Treasury yield is influenced by multiple economic factors, including core inflation, the federal funds rate, GDP growth, and the U.S. Federal government's debt growth rate. Leveraging historical data from the Federal Reserve Economic Database (FRED), this study develops predictive models to assess the impact of these factors on yield fluctuations. Empirical results indicate that the random forest model outperforms the other approaches, achieving the lowest mean squared error (MSE) and mean absolute error (MAE), alongside an R2 of 0.6073. This suggests its superior ability to capture nonlinear relationships in yield movements. The decision tree model also demonstrates competitive accuracy but is more susceptible to overfitting. Conversely, linear regression provides useful interpretability but struggles to capture complex economic interactions, leading to lower predictive accuracy. Despite its potential for handling nonlinear dependencies, the MLP model underperforms compared to the random forest, yielding an R2 of 0.5058. The findings underscore the advantages of machine learning, particularly ensemble-based methods, in short-term Treasury yield forecasting. © 2025 Elsevier B.V., All rights reserved.","federal funds rate; GDP; inflation rate; random forest; U.S. federal government debt growth rate; U.S. treasury bond","Economic analysis; Electronic trading; Financial markets; Forecasting; Inflation; Learning systems; Linear regression; Machine learning; Mean square error; Random forests; Federal fund rate; Federal funds; GDP; Inflation rates; Treasury bonds; U.S. federal government; US federal government debt growth rate; US treasury bond; Yield forecasting; Decision trees","Article","Final","","Scopus","2-s2.0-105015141371"
"Mäder, N.","Mäder, Nicolas (57746845300)","57746845300","Would an earlier inception of OMT by the ECB have prevented the 2012 Greek default?","2025","International Review of Economics and Finance","103","","104356","","","0","0","10.1016/j.iref.2025.104356","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012113857&doi=10.1016%2Fj.iref.2025.104356&partnerID=40&md5=a0410bf8f90a8a60f3cb411b27d80bd5","To avert further debt crises following the Greek default of 2012, the European Central Bank (ECB) adopted outright purchases of sovereign bonds as part of its monetary policy regime. This paper examines whether an earlier inception of such purchases (OMT) could have prevented the observed Greek repudiation. To account for the extraordinary circumstances surrounding the Greek default, I construct a novel model of sovereign finance in which default is political and investors’ reliance on external credit ratings gives rise to slow moving crises. Estimating the model with Greek data, I find that an earlier inception of OMT plausibly could have prevented the observed default, but the resulting counterfactual Greek state would have been so fragile that, absent any further fiscal consolidation, eventual default was effectively inevitable. Moreover, the present Greek state remains sufficiently fragile that a quick return to a predominantly private financing scheme is not advisable. © 2025 Elsevier B.V., All rights reserved.","Bounded rationality; Greek debt crisis; Nonlinear dynamics; Particle filter; Political default; Purification","","Article","Final","","Scopus","2-s2.0-105012113857"
"Rani, I.; Kumar Verma, C.K.","Rani, Indu (59262630100); Kumar Verma, Chandan Kumar (57188688236)","59262630100; 57188688236","G-PINNs: A Bayesian-Optimized GRU-Enhanced Physics-Informed Neural Network for Advancing Short Rate Model Predictions","2025","Engineering Analysis with Boundary Elements","179","","106396","","","0","0","10.1016/j.enganabound.2025.106396","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011519011&doi=10.1016%2Fj.enganabound.2025.106396&partnerID=40&md5=f568c88dee94315797af2ea970c71c42","Interest rate modeling plays a crucial role in financial risk management, derivative pricing, and economic forecasting. To address the challenges of capturing complex stochastic dynamics, this study proposes a novel Bayesian-Optimized GRU-Enhanced Physics-Informed Neural Network (G-PINNs) architecture, integrated with the Hull–White (HW) short-rate model, to improve the prediction accuracy of yield forecasting, zero-coupon bond (ZCB) pricing, and option pricing. The proposed framework effectively models time dependent variations and stochastic behavior in interest rate dynamics by leveraging Gated Recurrent Units (GRU) for sequential pattern recognition and Physics Informed Neural Networks (PINNs) to enforce financial constraints through partial differential equations (PDEs) of the HW model. For empirical validation, US treasury yield data from April 2020 to March 2025 is utilized. To achieve the best optimal hyperparameters to enhance both predictive accuracy and training efficiency, Bayesian Optimization (BO) is employed for hyperparameter tuning. The proposed model outperforms Vanilla PINNs as evidenced by higher R2 values and reduced error metrics (MAE, MSE, RMSE, Max & Min error, MSLE, Huber loss, MedAE) in yield prediction, ZCB pricing, and option pricing, as indicated by the numerical results. Furthermore, the results are statistically validated through the paired t-test, which confirms that the G-PINNs model's performance improvement is significant and not a consequence of random variation. Also, 5-fold cross-validation is performed to ensure robust and unbiased model evaluation across different data splits. © 2025 Elsevier B.V., All rights reserved.","Bayesian Optimization; GRU; Hull White model; Option pricing; PINNs; Zero-coupon bond","Bayesian networks; Costs; Economics; Electronic trading; Financial markets; Inflation; Investments; Neural networks; Pattern recognition; Prediction models; Risk assessment; Risk management; Statistical tests; Stochastic models; Stochastic systems; Bayesian; Bayesian optimization; Bond pricing; Gated recurrent unit; Hull white model; Neural-networks; Options pricing; Physic informed neural network; Rate models; Zero coupon bond; Forecasting","Article","Final","","Scopus","2-s2.0-105011519011"
"Chai, B.; Jiang, F.; Lin, Y.; You, T.","Chai, Bailin (60009417200); Jiang, Fuwei (55467524500); Lin, Yihao (60009591100); You, Tian (60010104200)","60009417200; 55467524500; 60009591100; 60010104200","Predicting bond risk premiums with machine learning: Evidence from China","2025","Pacific Basin Finance Journal","93","","102882","","","0","0","10.1016/j.pacfin.2025.102882","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011378841&doi=10.1016%2Fj.pacfin.2025.102882&partnerID=40&md5=e8cc6284881f9db8972654ad641eaf0d","This study evaluates the ability of machine-learning algorithms to forecast bond risk premiums in the Chinese market. Using a comprehensive set of macro-, firm- and bond-level predictors, we find that machine learning, especially neural network, delivers markedly higher out-of-sample performance than traditional linear benchmarks. The local per-capita fiscal expenditure (EXPEND), bond credit ratings (CREDIT), and profitability- and intangible-related firm characteristics emerge as the most informative variables. Predictive gains are especially pronounced for low-rated issues, non-state-owned enterprises, and periods of heightened economic policy uncertainty. Incorporating machine-learning-based forecasts also helps to enhance credit rating accuracy. Collectively, our findings highlight the value of non-linear machine learning modeling techniques for bond pricing in emerging markets. © 2025 Elsevier B.V., All rights reserved.","Big data; Chinese bond market; Credit rating; Machine learning; Risk premium","","Article","Final","","Scopus","2-s2.0-105011378841"
"Das, L.S.; Das, D.; Chandrakar, D.; BhaVani, P.; Dubepuria, A.; Barik, S.","Das, Lakshmana S. (57209825370); Das, Deepanjan (59952883300); Chandrakar, Denish (59952776000); BhaVani, Prashant (58892367300); Dubepuria, Amol (57226293317); Barik, Sitanshu (57203281375)","57209825370; 59952883300; 59952776000; 58892367300; 57226293317; 57203281375","Exploring the role of artificial intelligence in orthopedic medical education: A narrative review","2025","Journal of Clinical Orthopaedics and Trauma","69","","103100","","","0","0","10.1016/j.jcot.2025.103100","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008450203&doi=10.1016%2Fj.jcot.2025.103100&partnerID=40&md5=689fc86fda0cb4c9f95f55f9a47aaa14","Artificial intelligence (AI) is transforming orthopedic medical education by enhancing diagnostic accuracy, surgical training, and personalized learning. This narrative review explores AI's applications, including machine learning (ML) and computer vision for interpreting imaging studies, virtual reality (VR) and augmented reality (AR) for immersive surgical simulations, and natural language processing (NLP) for streamlining clinical workflows. AI-powered tools offer objective feedback, adaptive learning modules, and risk-free environments for skill acquisition, bridging gaps in traditional training methods. However, challenges such as data privacy, algorithmic bias, and the need for robust validation remain. Ethical considerations, including patient trust and trainee over-reliance on AI, must also be addressed. Despite these barriers, AI democratizes access to high-quality education, particularly in resource-limited settings, through cloud-based platforms and mobile applications. The future of AI in orthopedics is promising, with advancements in predictive analytics, robotic-assisted surgery, and haptic feedback technologies poised to further revolutionize training. Collaborative efforts among educators, clinicians, and developers are essential to ensure responsible integration. This review highlights AI's potential to reshape orthopedic education while emphasizing the importance of preserving the mentor-trainee relationship and fostering evidence-based adoption. © 2025 Elsevier B.V., All rights reserved.","Artificial intelligence; Medical education; Orthopedics; Teaching","algorithm bias; Article; artificial intelligence; augmented reality; clinician; cloud computing; collaborative care team; computer vision; data privacy; evidence based practice; human; machine learning; medical education; natural language processing; orthopedics; personalized medicine; resource limited setting; robot assisted surgery; simulation; surgical training; tactile feedback; trust; virtual reality; workflow","Article","Final","","Scopus","2-s2.0-105008450203"
