Publication Type;Authors;Book Authors;Group Authors;Book Group Authors;Researcher Ids;ORCIDs;Book Editors;Author - Arabic;Grant Principal Investigator;Grant Co Principal Investigator;Article Title;Article Title - SciELO;Article Title - SciELO;Article Title - Chinese;Article Title - Russian;Patent Number;Patent Assignee;Source Title - Arabic;Source Title;Source Title - Korean;Book Series Title;Book Series Subtitle;Volume;Issue;Special Issue;Meeting Abstract;Start Page;End Page;Article Number;Version;Version History;DOI;Book DOI;License Name;License URI;License Description;Early Access Date;Supplement;Document Type;Publication Date;Publication Year;Abstract;Abstract - Foreign;Abstract - English Transliteration;Abstract - Foreign;Abstract - Korean;Conference Title;Conference Date;Conference Sponsor;Conference Location;Times Cited, WoS Core;Times Cited, CSCD;Times Cited, RSCI;Times Cited, ARCI;Times Cited, BCI;Times Cited, SCIELO;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;ISSN;eISSN;ISBN;Grant Number;No of References;Cited References;Language;Advisor;Committee Member;Copyright;Degree Name;Institution Address;Institution;Dissertation and Thesis Subjects;Author Keywords;Indexed Date;UT (Unique ID);Pubmed Id;
J;"Alaminos, David; Salas, Maria Belen; Fernandez-Gamez, Manuel A.";;;;;"Salas-Compas, Maria Belen/0000-0003-3341-5766; Alaminos, David/0000-0002-2846-5104";;;;;DEEP NEURAL NETWORKS METHODS FOR ESTIMATING MARKET MICROSTRUCTURE AND SPECULATIVE ATTACKS MODELS: THE CASE OF GOVERNMENT BOND MARKET;;;;;;;;SINGAPORE ECONOMIC REVIEW;;;;70;4;;;1069;1104;;;;10.1142/S0217590822480034;;;;;NOV 2022;;Article;JUN 2025;2025;A sovereign bond market offers a wide range of opportunities for public and private sector financing and has drawn the interest of both scholars and professionals as they are the main instrument of most fixed-income asset markets. Numerous works have studied the behavior of sovereign bonds at the microeconomic level, given that a domestic securities market can enhance overall financial stability and improve financial market intermediation. Nevertheless, they do not deepen methods that identify liquidity risks in bond markets. This study introduces a new model for predicting unexpected situations of speculative attacks in the government bond market, applying methods of deep learning neural networks, which proactively identify and quantify financial market risks. Our approach has a strong impact in anticipating possible speculative actions against the sovereign bond market and liquidity risks, so the aspect of the potential effect on the systemic risk is of high importance.;;;;;;;;;4;0;0;0;0;0;4;;;0217-5908;1793-6837;;;;;;;;;;Univ Barcelona, Dept Business, Barcelona, SpainUniv Malaga, Dept Finance & Accounting, Malaga, SpainUniv Malaga, Catedra Econ & Finanzas Sostenibles, Malaga, Spain;;;;2022-12-02;WOS:000885903400003;;
J;"Andreasen, Martin M.; Jorgensen, Kasper; Meldrum, Andrew";;;;;;;;;;Bond risk premiums at the zero lower bound;;;;;;;;JOURNAL OF ECONOMETRICS;;;;247;;;;;;105939;;;10.1016/j.jeconom.2024.105939;;;;;JAN 2025;;Article;JAN 2025;2025;We document that the spread between long- and short-term government bond yields is a stronger predictor of excess bond returns when the U.S. economy is at the zero lower bound (ZLB) than away from this bound. The Gaussian shadow rate model with a linear or quadratic shadow rate is unable to explain this change in return predictability. The same holds for the quadratic term structure model and the autoregressive gamma-zero model that also enforce the ZLB. In contrast, the linear-rational square-root model explains our new empirical finding because the model allows for unspanned stochastic volatility as seen in bond yields.;;;;;;;;;0;0;0;0;0;0;0;;;0304-4076;1872-6895;;;;;;;;;;Aarhus Univ, CREATES, Aarhus, DenmarkDanish Finance Inst, Frederiksberg, DenmarkEuropean Cent Bank, Frankfurt Am Main, GermanyFed Reserve Board, Washington, DC USA;;;;2025-02-05;WOS:001409336000001;;
J;"Kowal, Daniel R.; Matteson, David S.; Ruppert, David";;;;;Matteson, David/0000-0002-2674-0387;;;;;Functional Autoregression for Sparsely Sampled Data;;;;;;;;JOURNAL OF BUSINESS & ECONOMIC STATISTICS;;;;37;1;;;97;109;;;;10.1080/07350015.2017.1279058;;;;;;;Article;2019;2019;We develop a hierarchical Gaussian process model for forecasting and inference of functional time series data. Unlike existing methods, our approach is especially suited for sparsely or irregularly sampled curves and for curves sampled with nonnegligible measurement error. The latent process is dynamically modeled as a functional autoregression (FAR) with Gaussian process innovations. We propose a fully nonparametric dynamic functional factor model for the dynamic innovation process, with broader applicability and improved computational efficiency over standard Gaussian process models. We prove finite-sample forecasting and interpolation optimality properties of the proposed model, which remain valid with the Gaussian assumption relaxed. An efficient Gibbs sampling algorithm is developed for estimation, inference, and forecasting, with extensions for FAR(p) models with model averaging over the lag p. Extensive simulations demonstrate substantial improvements in forecasting performance and recovery of the autoregressive surface over competing methods, especially under sparse designs. We apply the proposed methods to forecast nominal and real yield curves using daily U.S. data. Real yields are observed more sparsely than nominal yields, yet the proposed methods are highly competitive in both settings. Supplementary materials, including R code and the yield curve data, are available online.;;;;;;;;;16;0;0;0;0;0;21;;;0735-0015;1537-2707;;;;;;;;;;Cornell Univ, Dept Stat Sci, 301 Malott Hall, Ithaca, NY 14853 USACornell Univ, Dept Stat Sci, 1196 Comstock Hall, Ithaca, NY 14853 USACornell Univ, ILR Sch, 1196 Comstock Hall, Ithaca, NY 14853 USACornell Univ, Dept Stat Sci, Engn, 1170 Comstock Hall, Ithaca, NY 14853 USACornell Univ, Sch Operat Res & Informat Engn, 1170 Comstock Hall, Ithaca, NY 14853 USA;;;;2019-03-07;WOS:000459565700008;;
J;"Kozak, Jakob; Nagl, Cathrine; Nagl, Maximilian; Beracha, Eli; Schaefers, Wolfgang";;;;;"Kozak, Jakob/0009-0006-8350-1258; Beracha, Eli/0000-0002-5455-3482";;;;;Does Real Estate Determine REIT Bond Risk Premia?;;;;;;;;JOURNAL OF REAL ESTATE FINANCE AND ECONOMICS;;;;;;;;;;;;;10.1007/s11146-025-10018-7;;;;;JUN 2025;;"Article; Early Access";;2025;This study is the first to examine the real estate-specific determinants of REIT bond risk premia. Using a dataset of 33,857 U.S. REIT bond yield spreads and 24 explanatory variables, we predict REIT bond yield spreads with a non-parametric artificial neural network algorithm and interpret the model's predictions using the explainable machine learning method Accumulated Local Effect Plots (ALE). We report evidence of a direct real estate factor for U.S. REIT bond yield spreads proxied by real estate market total return and REIT property type. In addition, we find a property-type diversification risk premium for REIT bonds, indicating that there is no economic benefit in the form of lower cost of bond debt for most property-type diversification at the REIT-level. We argue that this is due to higher management and valuation complexity of diversified REIT portfolios. This study's findings have relevant implications for REIT portfolio strategy and REIT capital structure decisions, as we show that specialized REITs generally have lower bond debt costs compared to diversified REITs. Moreover, a better understanding of the drivers influencing REIT bond risk premia helps investors to effectively manage bond portfolio risks.;;;;;;;;;0;0;0;0;0;0;0;;;0895-5638;1573-045X;;;;;;;;;;Univ Regensburg, Chair Real Estate Management, Int Real Estate Business Sch IREBS, Univ Str 31, D-93040 Regensburg, GermanyUniv Regensburg, Chair Stat & Risk Management, Univ Str 31, D-93040 Regensburg, GermanyFlorida Int Univ, Hollo Sch Real Estate, 1101 Brickell Ave, Miami, FL 33131 USA;;;;2025-06-16;WOS:001506948200001;;
J;Machado Vicente, Jose Valentim;;;;;;;;;;A non-knotty inflation risk premium model;;;;;;;;APPLIED ECONOMICS;;;;55;28;;;3271;3278;;;;10.1080/00036846.2022.2111023;;;;;AUG 2022;;Article;JUN 15 2023;2023;In this article, I estimate the inflation risk premium (IRP) using a low-dimensional arbitrage-free dynamic model through a novel strategy. Instead of modelling the nominal and real yields jointly, I make assumptions about the short-term inflation rate. More specifically, I assume it follows a Gaussian process. This framework has a closed-form expression for IRP. Since inflation yields are not observed, to estimate the model parameters I approximate them by the break-even inflation rate. This approximation works well because the convexity correction is very small. I find that the estimated IRP is strongly correlated with those obtained using surveys or more complex models. Therefore, I provide an easier procedure to obtain IRP, avoiding the cumbersome estimation process of high-order models.;;;;;;;;;0;0;0;0;0;0;0;;;0003-6846;1466-4283;;;;;;;;;;Cent Bank Brazil, Rio De Janeiro, Brazil;;;;2022-08-28;WOS:000843085000001;;
J;"Antony, Jesmine Mary; Natarajan, Sundaram";;;;"; Sundaram, N/D-6766-2019";", A. Jesmine Mary/0009-0000-6163-0899; Sundaram, N/0000-0002-0801-0428";;;;;Neural network and machine learning use cases: Indian bond market predictions;;;;;;;;ECONOMICS AND FINANCE LETTERS;;;;11;1;;;57;79;;;;10.18488/29.v11i1.3667;;;;;;;Article;2024;2024;This study examines machine learning techniques to investigate how artificial intelligence (AI) affects predicting future trends in the bond market. The bond market offers a global perspective on capital costs for a business by establishing the fair value of the bond issue, which is based on multiple factors. The asset price market, which has employed machine learning (ML) and deep learning (DL) techniques to address the primary forecasting difficulty, surprisingly plays a significant role in predicting future bond market returns. As an outcome, if this gap can be forecast, it can act as the bond market's data -driven long-term direction and yield additional profits. Daily securityspecific data for the 10 -to -3 -year Indian Treasury Bond (ITB) was gathered from 2013 to 2022 and is available in the global government bonds database. The researchers looked at how well the auto -regressive integrated moving average (ARIMA), linear regression, and deep recurrent neural network -long short-term memory (DLSTM) models could predict bond yields and returns in future bond markets. The empirical results demonstrate that the DLSTM models most fairly predict the price of government bonds over both the short and longer horizons when compared to ARIMA and linear regression. Contribution/Originality: This paper focuses on the neural network effect of back-testing to confirm real bond interest rate volatility, different maturities, and credit rating risks to explain yield spread forecasting. The study helps business forecastersand institutional investors make well-informed decisions on the acquisition and disposal of financial assets;;;;;;;;;1;0;0;0;0;0;2;;;2312-6310;2312-430X;;;;;;;;;;Vellore Inst Technol, Sch Social Sci & Languages, Dept Commerce, Vellore 632014, Tamil Nadu, India;;;;2024-03-31;WOS:001179819000004;;
J;"Desai, VS; Bharati, R";;;;;;;;;;The efficacy of neural networks in predicting returns on stock and bond indices;;;;;;;;DECISION SCIENCES;;;;29;2;;;405;425;;;;10.1111/j.1540-5915.1998.tb01582.x;;;;;;;Article;SPR 1998;1998;This paper uses two recently developed tests to identify neglected nonlinearity in the relationship between excess returns on four asset classes and several economic and financial variables. Having found some evidence of possible nonlinearity, it was then investigated whether the predictive power of these variables could be enhanced by using neural network models instead of linear regression or GARCH models.Some evidence of nonlinearity in the relationships between the explanatory variables and large stocks and corporate bonds was found. It was also found that the GARCH models are conditionally efficient with respect to neural network models, but the neural network models outperform GARCH models if financial performance measures are used. In resonance with the results reported for the tests for neglected nonlinearity, it was found that the neural network forecasts are conditionally efficient with respect to linear regression models for large stocks and corporate bonds, whereas the evidence is not statistically significant for small stocks and intermediate-term government bonds. This difference persists even when financial performance measures for individual asset classes are used for comparison.;;;;;;;;;32;0;0;0;1;0;36;;;0011-7315;1540-5915;;;;;;;;;;HNC Software Inc, San Diego, CA 92121 USASo Illinois Univ, Dept Finance, Edwardsville, IL 62026 USA;HNC Software Inc;;;1998-03-01;WOS:000076188700005;;
J;"Lo, Andrew W.; Singh, Manish";;;;;Singh, Manish/0000-0002-0823-2629;;;;;Deep-learning models for forecasting financial risk premia and their interpretations;;;;;;;;QUANTITATIVE FINANCE;;;;23;6;;;917;929;;;;10.1080/14697688.2023.2203844;;;;;;;Article;JUN 3 2023;2023;The measurement of financial risk premia, the amount that a risky asset will outperform a risk-free one, is an important problem in asset pricing. The noisiness and non-stationarity of asset returns makes the estimation of risk premia using machine learning (ML) techniques challenging. In this work, we develop ML models that solve the problems associated with risk premia forecasting by separating risk premia prediction into two independent tasks, a time series model and a cross-sectional model, and using neural networks with skip connections to enable their deep neural network training. These models are tested robustly with different metrics, and we observe that our models outperform several existing standard ML models. A known issue with ML models is their 'black box' nature, i.e. their opaqueness to interpretability. We interpret these deep neural networks using local approximation-based techniques that provide explanations for our model's predictions.;;;;;;;;;5;1;0;0;0;0;6;;;1469-7688;1469-7696;;;;;;;;;;MIT, Sloan Sch Management, Cambridge, MA 02139 USAMIT, Sloan Sch Management, Lab Financial Engn, Cambridge, MA 02139 USAMIT, Comp Sci & Artificial Intelligence Lab, Cambridge, MA 02139 USAMIT, Dept Elect Engn & Comp Sci, Cambridge, MA USA;;;;2023-08-23;WOS:001005197400003;;
J;"Dunis, Christian L.; Morrison, Vincent";;;;;;;;;;The Economic Value of Advanced Time Series Methods for Modelling and Trading 10-year Government Bonds;;;;;;;;EUROPEAN JOURNAL OF FINANCE;;;;13;4;;;333;352;;;;10.1080/13518470600880010;;;;;;;Article;2007;2007;The motivation for this paper is to determine the potential economic value of advanced modelling methods for devising trading decision tools for 10-year Government bonds. Two advanced methods are used: time-varying parameter models with the implementation of state space modelling using a Kalman filter and nonparametric nonlinear models with Neural Network Regression (NNR). These are benchmarked against more traditional forecasting techniques to ascertain their potential as a forecasting tool and their economic value as a base for a trading decision tool. The models were developed using data from the UK Gilt market, US T-Bond market and German Bund market. Using in-sample data from April 2001 to January 2003 to develop the models, their results were assessed using the out-of-sample period of January 2003 to June 2003. Performance evaluation was based upon forecasting accuracy measures and financial criteria using a simulated trading strategy incorporating realistic trading costs. It is concluded that for the time series studied and for the period under investigation, the performance of the advanced models is mixed. While the NNR models have the ability to forecast the 10-year Government bond yield and add economic value as a trading decision tool, the Kalman filter models' performance is not as conclusive. The Kalman filter models outperformed the traditional techniques using forecasting accuracy measures, however they did not perform as well in the simulated trading strategy.;;;;;;;;;3;0;0;0;0;0;7;;;1351-847X;1466-4364;;;;;;;;;;JMU, CIBEF Ctr Int Banking Econ & Finance, Liverpool L3 5UZ, Merseyside, EnglandLiverpool John Moores Univ, Liverpool L3 5UX, Merseyside, England;;;;2007-01-01;WOS:000208509000003;;
J;"Rad, Hossein; Low, Rand Kwong Yew; Miffre, Joelle; Faff, Robert";;;;"; Miffre, Joelle/AAB-1906-2022; Low, Rand/L-1318-2015; Faff, Robert/G-1654-2014; Low, Rand/AAQ-1677-2020";"Faff, Robert/0000-0001-6867-9599; Miffre, Joelle/0000-0002-4729-9199; Low, Rand/0000-0002-0290-7840;";;;;;The commodity risk premium and neural networks;;;;;;;;JOURNAL OF EMPIRICAL FINANCE;;;;74;;;;;;101433;;;10.1016/j.jempfin.2023.101433;;;;;OCT 2023;;Article;DEC 2023;2023;The paper uses linear and nonlinear predictive models to study the linkage between a set of 128 macroeconomic and financial predictors and the risk premium of commodity futures contracts. The linear models use shrinkage methods based on either naive averaging or principal components. The nonlinear models use feedforward deep neural networks (DNN) either as stand-alone or in conjunction with a long short-term memory network (LSTM). Out of the four specifications considered, the LSTM-DNN architecture best captures the risk premium, which underscores the need to estimate models that are both nonlinear and recurrent. The superior performance of the LSTM-DNN portfolio persists after accounting for transaction costs or illiquidity and is unrelated to previously-documented commodity risk factors.;;;;;;;;;6;0;0;0;0;0;6;;;0927-5398;1879-1727;;;;;;;;;;Univ Queensland, UQ Business Sch, Brisbane 4072, AustraliaBond Univ, Bond Business Sch, Robina 4226, AustraliaAudencia Business Sch, 8 Route Joneliere, F-44312 Nantes, FranceLouis Bachelier, Paris, France;Louis Bachelier;;;2023-12-08;WOS:001105706900001;;
