title,DOI,original reviewer,new reviewer
The role of an aligned investor sentiment index in predicting bond risk premia of the U.S,,Olav,Ulrik
Estimating stochastic discount factor models with hidden regimes: Applications to commodity pricing,,Trine,Ulrik
Fiscal policy and asset markets: A semiparametric analysis,,Trine,Ulrik
Forecasting gold price using machine learning methodologies,,Trine,Ulrik
Local lagged adapted generalized method of moments: An innovative estimation and forecasting approach and its applications,,Olav,Ulrik
On some filtering problems arising in mathematical finance,,Trine,Ulrik
The Stochastic Stationary Root Model,,Trine,Ulrik
The impact of the Covid-19 related media coverage upon the five major developing markets,,Trine,Ulrik
Time-varying nonlinear regression models: Nonparametric estimation and model selection,,Trine,Ulrik
Spatiotemporal adaptive neural network for long-term forecasting of financial time series,,Trine,Ulrik
