title,DOI,original reviewer,new reviewer
Extrapolating Long-Run Yield Curves: An Innovative and Consistent Approach,10.1080/10920277.2022.2102040,Olav,Trine
Using Particle Swarm Optimization Algorithm to Calibrate the Term Structure Model,10.1155/2021/8893940,Olav,Trine
Neural network and machine learning use cases: Indian bond market predictions,10.18488/29.v11i1.3667,Olav,Trine
Changing beliefs and the term structure of interest rates: Cross-equation restrictions with drifting parameters,10.1016/j.red.2005.01.004,Olav,Trine
Autoencoder-Based Three-Factor Model for the Yield Curve of Japanese Government Bonds and a Trading Strategy,10.3390/jrfm13040082,Olav,Trine
Bayesian inference and state number determination for hidden Markov models: an application to the information content of the yield curve about inflation,10.1016/j.jeconom.2003.12.010,Olav,Trine
Comparing forecasting ability of parametric and non-parametric methods: An applications with Canadian monthly interest rates,10.1080/09603100110111259,Ulrik,Trine
Evaluating the combined forecasts of the dynamic factor model and the artificial neural network model using linear and nonlinear combining methods,10.1007/s00181-015-1049-1,Olav,Trine
A dynamic factor model of the yield curve components as a predictor of the economy,10.1016/j.ijforecast.2015.05.007,Olav,Trine
Incorporating economic indicators and market sentiment effect into US Treasury bond yield prediction with machine learning,10.24294/jipd.v8i9.7671,Olav,Trine
Out-of-sample forecasts and nonlinear model selection with an example of the term structure of interest rates,10.2307/1061692,Olav,Trine
Analysis of multifactor affine yield curve models,10.1198/jasa.2009.ap08029,Olav,Trine
A MODEL-SELECTION APPROACH TO ASSESSING THE INFORMATION IN THE TERM STRUCTURE USING LINEAR-MODELS AND ARTIFICIAL NEURAL NETWORKS,10.2307/1392186,Olav,Trine
Understanding the determinants of bond excess returns using explainable AI,10.1007/s11573-023-01149-5,Olav,Trine
LSTM Framework Design and Volatility Research on Intelligent Forecasting Model for Solving the Parallel Dislocation Problem,10.1088/1742-6596/1982/1/012028,Olav,Trine
Nonlinear mean reversion in the term structure of interest rates,10.1016/s0165-1889(02)00124-0,Olav,Trine
Projected polynomial autoregression for prediction of stationary time series,10.1080/02664769822756,Ulrik,Trine
Neural network forecasting in prediction Sharpe ratio: Evidence from EU debt market,10.1016/j.physa.2019.123331,Olav,Trine
DEEP NEURAL NETWORKS METHODS FOR ESTIMATING MARKET MICROSTRUCTURE AND SPECULATIVE ATTACKS MODELS: THE CASE OF GOVERNMENT BOND MARKET,10.1142/s0217590822480034,Olav,Trine
"Financial conditions, macroeconomic factors and disaggregated bond excess returns",10.1016/j.jbankfin.2015.03.015,Olav,Trine
Forecasting market trends with neural networks,none,Ulrik,Trine
Forecasting government bond spreads with heuristic models: evidence from the Eurozone periphery,10.1007/s10479-018-2808-0,Ulrik,Trine
Debt Intolerance: Threshold Level and Composition*,10.1111/obes.12470,Olav,Trine
Prediction of US 30‐years‐treasury‐bonds movement and trading entry point using the robust 1DCNN‐BiLSTM‐XGBoost algorithm,10.1111/exsy.13459,Ulrik,Trine
Capturing the Regime-Switching and Memory Properties of Interest Rates,10.1007/s10614-013-9396-5,Olav,Trine
A nonlinear model of the term structure of interest rates,10.1111/1467-9965.00030,Olav,Trine
Implementation Tests of Financial Market Analysis by Text Mining,10.1527/tjsai.26.313,Olav,Trine
Optimal Time Varying Parameters in Yield Curve Modeling and Forecasting: A Simulation Study on BRICS Countries,10.1007/s10614-024-10619-z,Ulrik,Trine
Modelling and forecasting interest rates during stages of the economic cycle: A knowledge-discovery approach,10.1016/j.eswa.2015.09.010,Ulrik,Trine
Evolving fuzzy modelling for yield curve forecasting,10.1504/ijebr.2018.091047,Olav,Trine
The relation between the equity risk premium and the bond maturity premium in the UK: 1900-2006,10.1007/s12197-008-9038-2,Olav,Trine
Forecasting interest rates: a comparative assessment of some second-generation nonlinear models,10.1080/02664760701835243,Olav,Trine
How Do Macroeconomic Fundamentals Affect Sovereign Bond Yields? New Evidence from European Forecasts,10.1093/cesifo/ify025,Olav,Trine
Real-time Bayesian learning and bond return predictability,10.1016/j.jeconom.2020.04.052,Olav,Trine
Bond Market Prediction using an Ensemble of Neural Networks,10.5120/14105-2144,Olav,Trine
A semiparametric approach for modelling multivariate nonlinear time series,10.1002/cjs.11518,Ulrik,Trine
Futures Open Interest and Speculative Pressure Dynamics via Bayesian Models of Long-Memory Count Processes,10.1002/for.70001,Ulrik,Trine
A model-selection approach to assessing the information in the term structure using linear models and artificial neural networks,10.1080/07350015.1995.10524600,Olav,Trine
Inference in Bayesian additive vector autoregressive tree models,10.1214/21-aoas1488,Olav,Trine
Predicting bond risk premiums with machine learning: Evidence from China,10.1016/j.pacfin.2025.102882,Olav,Trine
An Efficient Deep Learning Based Model to Predict Interest Rate Using Twitter Sentiment,10.3390/su12041660,Olav,Trine
Deep Learning for Bond Yield Forecasting: The LSTM-LagLasso,10.1002/ijfe.3116,Ulrik,Trine
